대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
1084,1084. 윤선생빌딩(JYP사옥),46577,5376,11627,11353,0.11542177469566524,0.24962964553320308,0.24374691371277668
746,746. 목동2단지 상가,46240,2667,8333,14832,0.05767733564013841,0.18021193771626298,0.32076124567474046
1157,1157. 강서구청,46181,13367,7786,9111,0.2894480414023083,0.16859747515211884,0.19728892834715575
243,243. 이앤씨드림타워 앞,46132,5137,11640,10786,0.1113543744038845,0.25231943119743344,0.23380733547212348
1608,1608. 공릉역 1번 출구 앞,46131,5835,9464,10178,0.12648761136762698,0.20515488500140902,0.22063254644382302
1044,1044. 굽은다리역,46104,5723,7899,12428,0.1241323963213604,0.17133003643935452,0.2695644629533229
4940,4940.한강버스 압구정 선착장,46092,1298,8357,20197,0.028161069166015795,0.18131129046255315,0.4381888397118806
787,787.양천아파트 입구,46086,13055,6548,10702,0.28327474721173457,0.14208219415874668,0.23221802716660156
3571,3571.화양 APT(횡단보도 옆),45986,8639,8236,10310,0.18786152307223938,0.1790979863436698,0.2241986691601792
4531,4531. 목동아파트 613동 앞,45950,10291,6377,12679,0.22396082698585418,0.13878128400435255,0.27593035908596303
4029,4029. 청소년수련관 후문,45915,9352,5776,12347,0.20368071436349777,0.1257976696068823,0.2689099422846564
4137,4137. 답십리역 4번출구,45845,5399,11524,10393,0.11776638673792125,0.2513687425019086,0.22669865852328497
2639,2639.석촌역 8번출구,45582,7550,9230,10914,0.16563555789566056,0.20249221183800623,0.23943661971830985
263,263. 근로자회관 사거리,45137,5820,10434,10430,0.12894078029111372,0.23116290404767706,0.23107428495469348
1117,1117. 등촌5단지아파트 버스정류장,45000,6543,8904,9777,0.1454,0.19786666666666666,0.21726666666666666
2719,2719.마곡문화공원,44848,4498,18468,5859,0.10029432750624331,0.41179093828041385,0.1306412772029968
202,202. 국민일보 앞,44756,3946,16104,9553,0.08816694968272411,0.35981767807668247,0.21344624184466887
4508,4508. 유원목동아파트 103동 앞,44528,6187,6974,10923,0.13894628099173553,0.1566205533596838,0.24530632411067194
1295,1295. 잠실역 8번출구,44519,3004,10696,12601,0.06747680765515847,0.24025696893461218,0.28304768750421166
5096,5096. LG사이언스파크 E14동,44505,4127,25012,976,0.09273115380294349,0.5620042691832379,0.021930120211212222
1011,1011. LIGA 아파트 앞,44309,7658,7111,10755,0.17283170461982894,0.1604865828612697,0.24272721117605903
1173,1173. 강서구청사거리(SH타워),44097,11201,6257,10478,0.2540082091752273,0.1418917386670295,0.23761253600018142
795,795.양천 해누리타운,44085,5297,8938,9763,0.12015424747646591,0.20274469774299647,0.22145854599069978
1149,1149. 신방화역환승주차장,44051,5484,9549,10568,0.1244920660143924,0.21677146943315703,0.2399037479285374
3680,3680. 강동역3번출구,43786,7617,8704,9469,0.17395971315032202,0.1987849997716165,0.21625633764216873
1191,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",43710,4392,9555,11050,0.10048043925875086,0.21859986273164037,0.2528025623427133
2628,2628.문정역 1번출구,43514,6904,9285,8971,0.15866158018109114,0.21337960196718297,0.20616353357540101
2646,2646.레이크펠리스101동앞,43374,5874,6531,12555,0.1354267533545442,0.15057407663577257,0.2894591229768986
