대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"2819","2819.하늘숲초등학교 앞",Group 3,Group 4,11000,2825,1541,2398,25.68%,14.01%,21.80%
"537","537. 한양대후문역 부근",Group 3,Group 3,10996,1034,1611,3082,9.40%,14.65%,28.03%
"1961","1961. 신도림테크노근린공원",Group 3,Group 1,10996,1416,3794,2365,12.88%,34.50%,21.51%
"852","852. 청암자이아파트 앞",Group 3,Group 1,10973,1737,1842,3256,15.83%,16.79%,29.67%
"2415","2415.한티역 롯데백화점 앞",Group 3,Group 3,10961,848,2185,3035,7.74%,19.93%,27.69%
"1322","1322. 래미안라센트아파트 103동 앞",Group 3,Group 1,10956,2531,997,2804,23.10%,9.10%,25.59%
"3628","3628. 역삼1동 주민센터",Group 3,Group 1,10955,891,2767,2348,8.13%,25.26%,21.43%
"5076","5076. 메이필드호텔앞",Group 3,Group 2,10944,689,5856,1141,6.30%,53.51%,10.43%
"5876","5876. 에이스하이테크시티 4동 앞",Group 3,Group 2,10934,516,4514,1435,4.72%,41.28%,13.12%
"4520","4520. 대성유니드아파트",Group 3,Group 1,10927,2279,1598,2696,20.86%,14.62%,24.67%
"3417","3417.창신3동주민센터",Group 3,Group 1,10906,2036,1405,2536,18.67%,12.88%,23.25%
"2633","2633.송파학사 옆",Group 3,Group 1,10898,1855,1553,3564,17.02%,14.25%,32.70%
"2410","2410. 포스코피앤에스타워 (역삼역 3번출구 부근)",Group 3,Group 1,10872,1430,3111,1705,13.15%,28.61%,15.68%
"1068","1068.명일파출소",Group 3,Group 1,10866,1150,2028,2710,10.58%,18.66%,24.94%
"2175","2175. 신림동걷고싶은문화의거리입구",Group 3,Group 3,10858,729,1498,3124,6.71%,13.80%,28.77%
"1806","1806. 에이스하이엔드타워9차 앞",Group 3,Group 2,10856,1272,5238,1307,11.72%,48.25%,12.04%
"817","817. 삼각지역 4번출구 앞",Group 3,Group 1,10850,1967,1479,3023,18.13%,13.63%,27.86%
"2920","2920.상계중학교(당현2교사거리)",Group 3,Group 3,10848,1364,1691,3177,12.57%,15.59%,29.29%
