대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"5097","5097. LG사이언스파크 E2동",Group 1,Group 2,15860,636,8720,717,4.01%,54.98%,4.52%
"3414","3414.종로5가역 4번출구",Group 1,Group 1,15845,2547,3197,3488,16.07%,20.18%,22.01%
"4792","4792. 퇴계로4가 교차로(중구청)",Group 1,Group 1,15841,1917,2926,3311,12.10%,18.47%,20.90%
"4270","4270. 우국한마음 아파트 맞은편",Group 1,Group 1,15839,2279,3063,3632,14.39%,19.34%,22.93%
"758","758. 한사랑교회 앞",Group 1,Group 1,15815,3391,2100,4483,21.44%,13.28%,28.35%
"475","475.DDP 패션몰",Group 1,Group 1,15807,885,2321,2289,5.60%,14.68%,14.48%
"2737","2737.까치산역 3번 출구",Group 1,Group 3,15786,1650,2706,4281,10.45%,17.14%,27.12%
"5088","5088. 등촌역 센터스퀘어",Group 1,Group 3,15786,1406,2750,4175,8.91%,17.42%,26.45%
"1306","1306. 한성대입구역2번출구",Group 1,Group 3,15770,1259,2569,4686,7.98%,16.29%,29.71%
"4004","4004. 당고개입구오거리 당현천변",Group 1,Group 3,15763,1732,2425,4283,10.99%,15.38%,27.17%
"3203","3203.도림동배드민턴체육관",Group 1,Group 4,15762,3970,1960,3616,25.19%,12.43%,22.94%
"2605","2605. 복정역 1번 출구 앞",Group 1,Group 2,15742,1713,5456,2787,10.88%,34.66%,17.70%
"6171","6171. 월드빌딩 앞",Group 1,Group 3,15730,1502,2753,4236,9.55%,17.50%,26.93%
"989","989. 신응교(가좌로) 앞",Group 1,Group 3,15728,1931,2369,4829,12.28%,15.06%,30.70%
"2115","2115. 관악구시설관리공단",Group 1,Group 4,15727,3903,2081,3861,24.82%,13.23%,24.55%
"2710","2710.라이품 공영주차장 앞",Group 1,Group 1,15719,3516,2573,3735,22.37%,16.37%,23.76%
"4657","4657. 본 서부병원 교차로 사거리",Group 1,Group 1,15719,2325,2888,4105,14.79%,18.37%,26.11%
"1288","1288. 문정중교 사거리",Group 1,Group 1,15705,2045,2593,4071,13.02%,16.51%,25.92%
"605","605. 신설동역8번출구",Group 1,Group 1,15643,2023,3033,3873,12.93%,19.39%,24.76%
"1670","1670. 노원경찰서교차로",Group 1,Group 1,15622,3195,1871,3122,20.45%,11.98%,19.98%
"420","420. 서울시 공공자전거 상암센터",Group 1,Group 3,15596,563,2221,7732,3.61%,14.24%,49.58%
"355","355. 서울사대부설초등학교 앞",Group 1,Group 1,15595,2216,3264,3099,14.21%,20.93%,19.87%
"4317","4317. 양재근린공원",Group 1,Group 1,15586,2962,2773,3492,19.00%,17.79%,22.40%
"557","557. 도선동 주민센터 앞",Group 1,Group 1,15573,2922,3185,3333,18.76%,20.45%,21.40%
"3907","3907. 신도림7차e편한세상아파트 806동 앞",Group 1,Group 1,15572,3328,1851,3914,21.37%,11.89%,25.13%
"1003","1003. 해공도서관앞",Group 1,Group 1,15571,2519,2440,4254,16.18%,15.67%,27.32%
"1677","1677. 육군사관학교  앞",Group 1,Group 1,15567,1911,3097,4305,12.28%,19.89%,27.65%
"2431","2431.대치역 7번출구",Group 1,Group 1,15567,2133,2594,4596,13.70%,16.66%,29.52%
"3788","3788. 정곡나들목",Group 1,Group 3,15558,652,1900,6735,4.19%,12.21%,43.29%
"2537","2537.양재역 8번출구 앞",Group 1,Group 1,15542,2113,4321,3454,13.60%,27.80%,22.22%
"3550","3550.금호나들목",Group 1,Group 3,15531,2116,2299,5641,13.62%,14.80%,36.32%
"1929","1929. 고척근린공원 고척도서관 앞",Group 1,Group 3,15522,1806,2210,4120,11.64%,14.24%,26.54%
"5326","5326. 대진고교앞 교차로",Group 1,Group 3,15515,1792,2312,4252,11.55%,14.90%,27.41%
"1074","1074.대명초교입구 사거리",Group 1,Group 1,15505,2939,1793,4277,18.96%,11.56%,27.58%
"6060","6060. 신한은행 본점",Group 1,Group 2,15501,1756,4867,2083,11.33%,31.40%,13.44%
"4222","4222. 서울디자인고등학교 앞",Group 1,Group 1,15492,1927,2776,3979,12.44%,17.92%,25.68%
"4381","4381. 더스페이스타워 앞",Group 1,Group 1,15486,1435,4177,3589,9.27%,26.97%,23.18%
"2054","2054. 삼익아파트",Group 1,Group 1,15481,3387,1559,4202,21.88%,10.07%,27.14%
"4089","4089. 동부센트레빌 앞",Group 1,Group 1,15453,3039,2073,3999,19.67%,13.41%,25.88%
"2904","2904.중계3차청구아파트",Group 1,Group 3,15449,1082,2304,3958,7.00%,14.91%,25.62%
"1440","1440. 면목2동 사거리",Group 1,Group 1,15430,2118,2692,4169,13.73%,17.45%,27.02%
"1529","1529. 미아동 한국전력공사",Group 1,Group 3,15419,1434,3005,3807,9.30%,19.49%,24.69%
"320","320. 을지로입구역 4번출구 앞",Group 1,Group 1,15406,2166,3684,2298,14.06%,23.91%,14.92%
"2821","2821.청구아파트 앞",Group 1,Group 1,15370,3648,2243,3442,23.73%,14.59%,22.39%
"3879","3879. 중랑천 뚝방길 산책로 입구",Group 1,Group 1,15341,3665,2326,4018,23.89%,15.16%,26.19%
"2902","2902.공릉풍림아파트 108동",Group 1,Group 4,15335,5016,1598,3452,32.71%,10.42%,22.51%
"4092","4092. 도봉경찰서 교차로",Group 1,Group 1,15333,2048,2211,3514,13.36%,14.42%,22.92%
"2066","2066. 양문교회 앞",Group 1,Group 1,15323,2451,2075,4167,16.00%,13.54%,27.19%
"4601","4601.양평역2번출구 뒤",Group 1,Group 1,15303,3317,3253,3453,21.68%,21.26%,22.56%
"819","819. 선린인터넷 고등학교",Group 1,Group 1,15300,2618,2152,4368,17.11%,14.07%,28.55%
"4076","4076. 도봉통합복지센터 뒤 중랑천 변",Group 1,Group 3,15300,1309,2178,4604,8.56%,14.24%,30.09%
"215","215. 여의도고교 앞",Group 1,Group 1,15292,2965,2646,3924,19.39%,17.30%,25.66%
"334","334. 종로3가역 2번출구 뒤",Group 1,Group 1,15289,1744,3164,3296,11.41%,20.69%,21.56%
"3899","3899. 아차산역 2번출구",Group 1,Group 3,15288,2170,2387,4702,14.19%,15.61%,30.76%
"4181","4181. 보라매공원역 2번출구",Group 1,Group 1,15266,2054,2734,4408,13.45%,17.91%,28.87%
"700","700. KB국민은행 염창역 지점 앞",Group 1,Group 1,15263,1766,2786,4060,11.57%,18.25%,26.60%
"838","838. 숙대입구역 4번출구",Group 1,Group 1,15260,1784,2718,3913,11.69%,17.81%,25.64%
"5075","5075. 등촌역 1번출구",Group 1,Group 1,15228,2099,2573,3853,13.78%,16.90%,25.30%
"289","289. 대림3동사거리",Group 1,Group 1,15207,2685,2470,3568,17.66%,16.24%,23.46%
"455","455. 종로6가역 버스정류장(동대문 방향)",Group 1,Group 1,15205,1721,2740,1651,11.32%,18.02%,10.86%
"4711","4711. 올림픽기념 국민생활관 로터리",Group 1,Group 1,15196,3668,1809,3395,24.14%,11.90%,22.34%
"4512","4512. 목동13_14단지 사거리",Group 1,Group 1,15186,2398,2610,3560,15.79%,17.19%,23.44%
"2056","2056. 동작구민 체육센터",Group 1,Group 1,15180,3564,2394,2866,23.48%,15.77%,18.88%
"239","239. 유스호스텔 앞",Group 1,Group 1,15134,2838,3574,2647,18.75%,23.62%,17.49%
"4167","4167. 구로교 아래",Group 1,Group 3,15102,1133,2913,4217,7.50%,19.29%,27.92%
"915","915. 증산역 4번출구",Group 1,Group 1,15088,2002,2452,3984,13.27%,16.25%,26.41%
"3984","3984. 가산롯데아이티캐슬",Group 1,Group 2,15048,1145,7415,1702,7.61%,49.28%,11.31%
"3935","3935. 고대구로병원 앞",Group 1,Group 1,15043,1787,3519,2816,11.88%,23.39%,18.72%
"1707","1707. 도봉구민회관",Group 1,Group 1,15037,1769,2036,3497,11.76%,13.54%,23.26%
"3432","3432.종로2가 사거리",Group 1,Group 1,15035,1346,3117,3061,8.95%,20.73%,20.36%
"4464","4464. 올림픽공원 북2문 A",Group 1,Group 3,15033,1343,2885,4763,8.93%,19.19%,31.68%
"1685","1685. 불암고등학교 앞 횡단보도",Group 1,Group 1,15028,2430,2322,3923,16.17%,15.45%,26.10%
"2911","2911.상계역중앙시장",Group 1,Group 3,15019,1195,2769,4316,7.96%,18.44%,28.74%
"1640","1640. 한내근린공원 북측",Group 1,Group 3,15016,1726,2160,4757,11.49%,14.38%,31.68%
"1767","1767.방학초등학교 앞",Group 1,Group 1,15011,2947,1898,3632,19.63%,12.64%,24.20%
"108","108. 서교동 사거리",Group 1,Group 3,14995,367,3233,4796,2.45%,21.56%,31.98%
"1119","1119. 염창동 한마음아파트 앞",Group 1,Group 1,14981,2403,2347,4241,16.04%,15.67%,28.31%
"4143","4143.서울동물복지지원센터 동대문",Group 1,Group 3,14981,949,3410,3525,6.33%,22.76%,23.53%
"4536","4536. 양천해누리체육공원",Group 1,Group 1,14957,1474,1482,1957,9.85%,9.91%,13.08%
"6054","6054.청구e편한세상아파트 113동 앞",Group 1,Group 1,14956,2875,2198,3565,19.22%,14.70%,23.84%
"5893","5893.한국산업은행",Group 1,Group 2,14952,592,7852,1331,3.96%,52.51%,8.90%
"3125","3125.연희파크푸르지오아파트 앞",Group 1,Group 1,14950,3257,2141,4287,21.79%,14.32%,28.68%
"818","818. 숙명여대 입구 교차로",Group 1,Group 1,14942,2688,1886,3819,17.99%,12.62%,25.56%
"411","411. DMC홍보관",Group 1,Group 2,14938,934,5451,2268,6.25%,36.49%,15.18%
"3121","3121.가좌삼거리",Group 1,Group 1,14899,1712,2734,4067,11.49%,18.35%,27.30%
"3928","3928.고척아이파크아파트 106동 앞",Group 1,Group 1,14899,2033,2569,4446,13.65%,17.24%,29.84%
"339","339. 종로4가 사거리",Group 1,Group 1,14887,1061,3193,2730,7.13%,21.45%,18.34%
"4238","4238. 상암한샘빌딩앞",Group 1,Group 4,14883,4076,2733,2468,27.39%,18.36%,16.58%
"1227","1227. 거여역 8번출구 뒤",Group 1,Group 1,14850,3251,3210,2960,21.89%,21.62%,19.93%
"1175","1175. 대한항공 인력개발센터",Group 1,Group 1,14828,2496,2690,3226,16.83%,18.14%,21.76%
"4965","4965.고덕비즈밸리 쿠쿠강동빌딩",Group 1,Group 3,14827,240,4430,4901,1.62%,29.88%,33.05%
"4028","4028. 한일유앤아이아파트 105동 인근",Group 1,Group 1,14815,2192,2138,4330,14.80%,14.43%,29.23%
"336","336. 충무로역 6번출구 앞",Group 1,Group 1,14806,2669,2944,2593,18.03%,19.88%,17.51%
"2645","2645.잠실나들목2(엘스아파트136동)",Group 1,Group 3,14794,2224,1980,4917,15.03%,13.38%,33.24%
"3814","3814. 난곡사거리",Group 1,Group 3,14791,1237,2205,3909,8.36%,14.91%,26.43%
"426","426. 서울신용보증재단",Group 1,Group 1,14777,2256,3417,3091,15.27%,23.12%,20.92%
"335","335. 종로3가역 15번출구 뒤",Group 1,Group 1,14765,1738,3359,2860,11.77%,22.75%,19.37%
"3763","3763. 등촌태영아파트",Group 1,Group 1,14743,3034,3271,3319,20.58%,22.19%,22.51%
"513","513. 뚝섬역 5번 출구 정류소 옆",Group 1,Group 1,14739,1904,3790,2567,12.92%,25.71%,17.42%
"314","314. 국립현대미술관",Group 1,Group 3,14738,1058,2982,4377,7.18%,20.23%,29.70%
"1407","1407. 먹골역 1번출구 뒤",Group 1,Group 3,14727,1645,2348,3914,11.17%,15.94%,26.58%
"3408","3408.종로타워빌딩",Group 1,Group 1,14681,1547,3778,2291,10.54%,25.73%,15.61%
"148","148. 용강동 주민센터 앞",Group 1,Group 1,14658,3192,2084,4307,21.78%,14.22%,29.38%
"453","453. 종로오가 지하쇼핑센터 14번출구",Group 1,Group 1,14658,1655,2982,3142,11.29%,20.34%,21.44%
"5508","5508. 성산유수지공원",Group 1,Group 1,14654,2203,2219,4276,15.03%,15.14%,29.18%
"2177","2177. 신대방역 2번 출구",Group 1,Group 3,14652,1748,2794,4149,11.93%,19.07%,28.32%
"2070","2070. 노량진역 2번 출구 앞",Group 1,Group 3,14628,1035,2732,4753,7.08%,18.68%,32.49%
"2375","2375. 수서역 1번출구 앞",Group 1,Group 1,14610,2520,3708,2877,17.25%,25.38%,19.69%
"4272","4272. 홍남교 사거리",Group 1,Group 1,14601,2669,2154,4117,18.28%,14.75%,28.20%
"2106","2106. 세이브마트",Group 1,Group 1,14588,2095,1705,3752,14.36%,11.69%,25.72%
"2413","2413.도곡역 1번 출구",Group 1,Group 1,14580,2013,2784,4047,13.81%,19.09%,27.76%
"4872","4872. 개롱역 3번 출구 뒤",Group 1,Group 3,14543,1608,2568,3947,11.06%,17.66%,27.14%
"4090","4090. 녹천교 앞 사거리",Group 1,Group 1,14541,2058,2218,4257,14.15%,15.25%,29.28%
"407","407. 마포구 육아종합지원센터",Group 1,Group 1,14526,1905,2731,2851,13.11%,18.80%,19.63%
"367","367. 독립문역 3-1번출구",Group 1,Group 4,14510,6354,1788,2681,43.79%,12.32%,18.48%
"1627","1627. 수락산역 4번출구",Group 1,Group 1,14492,1653,3160,3693,11.41%,21.81%,25.48%
"2187","2187. 현대시장사거리",Group 1,Group 1,14485,2410,1937,3860,16.64%,13.37%,26.65%
"2169","2169. 봉천역 2번출구",Group 1,Group 3,14456,1569,2308,3790,10.85%,15.97%,26.22%
"1665","1665. 양지근린공원앞",Group 1,Group 1,14452,1854,2040,3990,12.83%,14.12%,27.61%
"356","356. KT혜화지사 앞",Group 1,Group 1,14444,2055,2641,3090,14.23%,18.28%,21.39%
"1411","1411. 상봉시장앞 교차로 한성빌딩 앞",Group 1,Group 3,14438,1629,1927,4000,11.28%,13.35%,27.70%
"2515","2515.서초초등학교 후문",Group 1,Group 3,14438,929,3796,3546,6.43%,26.29%,24.56%
"2709","2709.강변아파트 310동 앞",Group 1,Group 1,14432,2349,1899,4568,16.28%,13.16%,31.65%
"4957","4957. 신명초교 교차로",Group 1,Group 1,14407,2925,1824,3901,20.30%,12.66%,27.08%
"124","124. 서강대 정문 건너편",Group 1,Group 3,14395,1308,2437,4045,9.09%,16.93%,28.10%
"610","610. 동대문중 교차로",Group 1,Group 1,14388,3311,2093,3441,23.01%,14.55%,23.92%
"3507","3507. 어린이회관",Group 1,Group 1,14377,2950,1821,3291,20.52%,12.67%,22.89%
"4267","4267. 서대문역 2번 출구",Group 1,Group 1,14367,2197,2785,3425,15.29%,19.38%,23.84%
"3614","3614. 은마아파트 입구 사거리",Group 1,Group 3,14334,1183,2602,3925,8.25%,18.15%,27.38%
"5895","5895.생각공장당산",Group 1,Group 1,14326,1691,3869,2460,11.80%,27.01%,17.17%
"844","844. 이촌2동 동원베네스트 아파트 앞",Group 1,Group 1,14322,3101,1921,3750,21.65%,13.41%,26.18%
"3640","3640. 일원1동주민센터앞 사거리",Group 1,Group 1,14295,2405,3560,2604,16.82%,24.90%,18.22%
"627","627. 장안동삼거리 교통섬",Group 1,Group 1,14280,2066,1948,3875,14.47%,13.64%,27.14%
"1834","1834. 월드메르디앙 벤처센터 2차",Group 1,Group 2,14257,658,7093,2166,4.62%,49.75%,15.19%
"4460","4460. 올림픽훼미리아파트 112동 앞",Group 1,Group 1,14246,2656,3737,2788,18.64%,26.23%,19.57%
"2648","2648.헬리오시티 112동 앞",Group 1,Group 1,14219,2663,1963,4265,18.73%,13.81%,30.00%
"340","340. 혜화동 로터리",Group 1,Group 1,14217,2041,2331,3611,14.36%,16.40%,25.40%
"3684","3684. 고덕자이(105동 앞)",Group 1,Group 1,14207,2622,1672,3902,18.46%,11.77%,27.47%
"1749","1749. ESA아파트 상가 앞",Group 1,Group 3,14198,1102,2032,3986,7.76%,14.31%,28.07%
"4819","4819. 면목동 새싹어린이공원 앞",Group 1,Group 1,14193,3058,1741,3743,21.55%,12.27%,26.37%
"327","327. 낙원상가 옆",Group 1,Group 1,14190,2047,2835,3187,14.43%,19.98%,22.46%
"2711","2711.가로공원공영주차장 1번 출구",Group 1,Group 1,14186,2835,1686,3762,19.98%,11.88%,26.52%
"3699","3699. 상일파출소 옆",Group 1,Group 1,14185,2309,2693,3233,16.28%,18.98%,22.79%
"815","815. LIG강촌아파트 103동앞",Group 1,Group 3,14162,1614,2394,4331,11.40%,16.90%,30.58%
"711","711. 신일해피트리아파트 앞",Group 1,Group 4,14135,3494,1966,3296,24.72%,13.91%,23.32%
"343","343. 힐스테이트창경궁 아파트 앞",Group 1,Group 1,14130,2464,2988,2860,17.44%,21.15%,20.24%
"2244","2244. 말죽거리공원 사거리",Group 1,Group 3,14130,1133,3262,3771,8.02%,23.09%,26.69%
"1960","1960. 구로거리공원 동측(신도림역 방면)",Group 1,Group 1,14123,3305,2095,3500,23.40%,14.83%,24.78%
"5338","5338. 상계초교 입구 교차로",Group 1,Group 3,14117,902,2457,3778,6.39%,17.40%,26.76%
"4397","4397. 마장축산물시장 북문 건너편",Group 1,Group 3,14107,1340,3189,3896,9.50%,22.61%,27.62%
"3651","3651. 개포동역 4번출구",Group 1,Group 3,14101,1756,2107,4454,12.45%,14.94%,31.59%
"949","949. 연신내역 1번 출구",Group 1,Group 3,14092,1336,2779,3759,9.48%,19.72%,26.67%
"2539","2539.대한무역투자진흥공사 KOTRA 앞",Group 1,Group 2,14084,685,6508,880,4.86%,46.21%,6.25%
"3120","3120.DMC엘가아파트 앞",Group 1,Group 1,14082,2204,2395,3503,15.65%,17.01%,24.88%
"6184","6184. 한강버스 마곡 선착장",Group 1,Group 3,14081,569,2273,5651,4.04%,16.14%,40.13%
"1726","1726. 삼익세라믹아파트교차로",Group 1,Group 1,14062,2128,1976,3937,15.13%,14.05%,28.00%
"1233","1233. 잠실3거리(갤러리아팰리스)",Group 1,Group 1,14047,1605,2389,3756,11.43%,17.01%,26.74%
"4114","4114. 휘경여중고삼거리",Group 1,Group 1,14041,1949,2300,3448,13.88%,16.38%,24.56%
"1428","1428. 원묵고등학교",Group 1,Group 1,14037,1732,2081,3738,12.34%,14.83%,26.63%
"4652","4652. 신사두산위브2차아파트 앞",Group 1,Group 4,14029,3732,1398,3270,26.60%,9.97%,23.31%
"4169","4169. 신대방삼거리",Group 1,Group 3,14026,1601,1712,3990,11.41%,12.21%,28.45%
"4917","4917. 일원에코파크 주차장",Group 1,Group 4,14017,3630,2229,3124,25.90%,15.90%,22.29%
"400","400. 상암한화오벨리스크 1차 앞",Group 1,Group 4,14015,4627,1627,3196,33.01%,11.61%,22.80%
"2013","2013. 장승배기역 5번출구",Group 1,Group 1,14007,1832,2308,3828,13.08%,16.48%,27.33%
"4083","4083.도봉아이나라도서관 앞",Group 1,Group 1,13999,2802,1661,3193,20.02%,11.87%,22.81%
"1770","1770.도봉한신아파트 주변",Group 1,Group 1,13996,1577,2060,2754,11.27%,14.72%,19.68%
"2530","2530.삼호3차아파트 앞",Group 1,Group 1,13993,1784,2712,3809,12.75%,19.38%,27.22%
"722","722. 경서농협 버스정류장(우리은행신정동지점방향)",Group 1,Group 1,13991,2668,2201,3867,19.07%,15.73%,27.64%
"4347","4347. 논현지하보도",Group 1,Group 1,13986,2904,2366,3154,20.76%,16.92%,22.55%
"4210","4210. 가좌행복주택 앞",Group 1,Group 1,13982,3315,1999,3694,23.71%,14.30%,26.42%
"4214","4214. JTBC 앞",Group 1,Group 2,13981,981,4408,2130,7.02%,31.53%,15.23%
"2108","2108. 은천치안센터",Group 1,Group 1,13973,2165,2115,3856,15.49%,15.14%,27.60%
"3863","3863. 동일로58길 입구",Group 1,Group 4,13968,3624,2336,3272,25.95%,16.72%,23.42%
"1974","1974. 신도림2차e편한세상아파트 203동 앞",Group 1,Group 1,13961,2639,2066,3573,18.90%,14.80%,25.59%
"3931","3931. 천왕역 3번 출구 뒤",Group 1,Group 1,13955,2165,3505,2575,15.51%,25.12%,18.45%
"5325","5325.상계주공7단지 아파트 앞",Group 1,Group 3,13955,1292,2115,3829,9.26%,15.16%,27.44%
"3502","3502. 중곡역 1번출구",Group 1,Group 1,13943,1830,2639,3293,13.12%,18.93%,23.62%
"281","281. 대림신동아아파트 앞",Group 1,Group 1,13941,1734,2190,3856,12.44%,15.71%,27.66%
"1848","1848. 벽산 디지털밸리 5차",Group 1,Group 2,13908,790,7729,1238,5.68%,55.57%,8.90%
"223","223. 진주아파트상가 앞",Group 1,Group 1,13903,2098,2551,3144,15.09%,18.35%,22.61%
"1630","1630. 수연빌딩 앞",Group 1,Group 3,13884,1084,2509,4067,7.81%,18.07%,29.29%
"849","849. 삼각지 자이아파트",Group 1,Group 1,13871,2720,2004,4103,19.61%,14.45%,29.58%
"4589","4589. KRX한국거래소(1)",Group 1,Group 1,13861,1626,3773,2459,11.73%,27.22%,17.74%
"1664","1664. 노해근린공원내",Group 1,Group 1,13839,2189,1777,4073,15.82%,12.84%,29.43%
"2327","2327. 뱅뱅사거리 랜드마크타워 앞",Group 1,Group 1,13825,1442,4140,2202,10.43%,29.95%,15.93%
"4113","4113. 한국국방연구원 앞",Group 1,Group 1,13819,1542,3174,3169,11.16%,22.97%,22.93%
"4719","4719. 종로문화원 건너편",Group 1,Group 1,13816,1160,3533,2510,8.40%,25.57%,18.17%
"1605","1605. 헬스케어",Group 1,Group 1,13795,1507,2704,3427,10.92%,19.60%,24.84%
"4517","4517. 성보하이드로빌딩",Group 1,Group 1,13780,2403,1635,3938,17.44%,11.87%,28.58%
"1382","1382.래미안월곡아파트 입구",Group 1,Group 4,13776,3492,1586,3370,25.35%,11.51%,24.46%
"4707","4707. 청계3가 사거리",Group 1,Group 1,13775,2255,2406,3505,16.37%,17.47%,25.44%
"5513","5513. 마포음식문화거리",Group 1,Group 1,13759,2110,2206,4024,15.34%,16.03%,29.25%
"1470","1470.중화동 우리은행 앞",Group 1,Group 1,13737,2006,2371,3619,14.60%,17.26%,26.34%
"1229","1229. 송파체육문화회관 앞",Group 1,Group 1,13731,2667,2296,2141,19.42%,16.72%,15.59%
"165","165. 중앙근린공원",Group 1,Group 4,13716,3679,1673,3700,26.82%,12.20%,26.98%
"4569","4569. 힐스테이트클래시안아파트",Group 1,Group 1,13707,3138,1671,3438,22.89%,12.19%,25.08%
"1384","1384.성신여대입구역 5번출구",Group 1,Group 1,13700,2424,1837,3654,17.69%,13.41%,26.67%
"3528","3528. 광진정보도서관",Group 1,Group 3,13699,523,2860,5034,3.82%,20.88%,36.75%
"2423","2423.영희초교 사거리(래미안개포루체하임)",Group 1,Group 1,13690,1863,1849,3938,13.61%,13.51%,28.77%
"5155","5155.광진경찰서 앞",Group 1,Group 4,13690,3382,1906,3404,24.70%,13.92%,24.86%
"3119","3119.연희 브라운스톤 아파트 앞",Group 1,Group 1,13689,2256,2122,3999,16.48%,15.50%,29.21%
"3775","3775. 가양오토갤러리",Group 1,Group 1,13689,2560,3190,2573,18.70%,23.30%,18.80%
"777","777.신월6차보람아파트 앞",Group 1,Group 4,13688,3485,1707,3334,25.46%,12.47%,24.36%
"1456","1456. 상아빌딩(우림시장 교차로)",Group 1,Group 1,13668,1735,1784,3636,12.69%,13.05%,26.60%
"2080","2080. 대방지하보도(대방동경남아너스빌아파트)",Group 1,Group 1,13656,1949,2949,3287,14.27%,21.59%,24.07%
"3983","3983. 금천구청역 1번 출구",Group 1,Group 1,13649,2264,4094,2494,16.59%,29.99%,18.27%
"1741","1741. 제일강산수산입구",Group 1,Group 3,13641,1304,2083,3805,9.56%,15.27%,27.89%
"1148","1148. 볏골공원",Group 1,Group 4,13638,4078,1595,3382,29.90%,11.70%,24.80%
"2333","2333. 양재역 3번출구 주변",Group 1,Group 1,13629,1877,3566,2789,13.77%,26.16%,20.46%
"2171","2171. 서울대입구역 5번출구",Group 1,Group 3,13601,1027,2698,3718,7.55%,19.84%,27.34%
"2247","2247.섬들근린공원",Group 1,Group 1,13587,2778,2017,3477,20.45%,14.85%,25.59%
"1651","1651. 상계동 우방유쉘아파트 앞",Group 1,Group 1,13585,1878,1938,3733,13.82%,14.27%,27.48%
"4677","4677. 백련산 SK뷰 아이파크 해모로 아파트 앞",Group 1,Group 4,13579,4023,1429,3329,29.63%,10.52%,24.52%
"985","985. 은평세무서 버스정류장(은평구청 방면)",Group 1,Group 1,13562,2079,2198,3190,15.33%,16.21%,23.52%
"1110","1110. 공항중학교앞",Group 1,Group 4,13531,4120,1263,2979,30.45%,9.33%,22.02%
"2542","2542.신논현타워 앞",Group 1,Group 1,13520,1657,3025,3247,12.26%,22.37%,24.02%
"1846","1846. 롯데캐슬골드파크1차 동문",Group 1,Group 4,13507,6123,1082,2644,45.33%,8.01%,19.58%
"3131","3131.연가교 교차로",Group 1,Group 4,13506,4017,1454,3694,29.74%,10.77%,27.35%
"5317","5317. 공릉동 신도1차 아파트 뒤",Group 1,Group 1,13503,2125,1967,3463,15.74%,14.57%,25.65%
"826","826. 서울역 서부교차로2",Group 1,Group 4,13492,3517,1994,3200,26.07%,14.78%,23.72%
"6061","6061.충무아트센터",Group 1,Group 1,13472,1600,2021,2783,11.88%,15.00%,20.66%
"5309","5309. 월계 롯데캐슬아파트 뒤",Group 1,Group 1,13461,2791,1596,3591,20.73%,11.86%,26.68%
"916","916. 평생학습관 앞",Group 1,Group 3,13460,1430,2152,3754,10.62%,15.99%,27.89%
"331","331. 을지로2가 사거리 북측",Group 1,Group 2,13430,1472,4833,1353,10.96%,35.99%,10.07%
"5869","5869. 영등포아트홀 앞",Group 1,Group 1,13429,1522,2609,2917,11.33%,19.43%,21.72%
"3793","3793. 더리브골드타워",Group 1,Group 1,13428,2693,4052,2082,20.06%,30.18%,15.50%
"374","374. 신당동주민센터앞",Group 1,Group 1,13417,1449,2879,3050,10.80%,21.46%,22.73%
"1203","1203. 밀리아나2빌딩 앞",Group 1,Group 1,13404,915,3304,2642,6.83%,24.65%,19.71%
"4588","4588.양남사거리2",Group 1,Group 1,13399,1652,4091,2493,12.33%,30.53%,18.61%
"706","706. 신정네거리역",Group 1,Group 1,13386,1784,2967,3241,13.33%,22.16%,24.21%
"4425","4425. 하늘채코오롱아파트 앞",Group 1,Group 3,13364,1770,1810,4110,13.24%,13.54%,30.75%
"1327","1327. 상월곡역 3번출구",Group 1,Group 1,13352,2001,2502,3333,14.99%,18.74%,24.96%
"5078","5078. 왈도강서캠퍼스 앞",Group 1,Group 1,13311,3177,1846,3221,23.87%,13.87%,24.20%
"2086","2086.삼일수영장 앞",Group 1,Group 4,13302,3896,1098,3087,29.29%,8.25%,23.21%
"454","454. 종로2가 버스정류장 (종각방향)",Group 1,Group 1,13297,1337,2786,2908,10.05%,20.95%,21.87%
"1520","1520. 수유중앙시장",Group 1,Group 3,13286,1410,1714,3717,10.61%,12.90%,27.98%
"457","457. 종로꽃시장 입구 옆",Group 1,Group 1,13257,2529,2907,1959,19.08%,21.93%,14.78%
"1743","1743.창동19단지아파트 관리사무소앞",Group 1,Group 1,13231,2615,1732,3651,19.76%,13.09%,27.59%
"276","276. 영등포로터리2",Group 1,Group 4,13230,3693,2296,3170,27.91%,17.35%,23.96%
"3204","3204.도림고가도로 밑",Group 1,Group 1,13220,2569,2019,3369,19.43%,15.27%,25.48%
"2369","2369. KT선릉타워",Group 1,Group 1,13217,1444,3461,2215,10.93%,26.19%,16.76%
"2504","2504. 신사역 4번출구 뒤",Group 1,Group 3,13208,698,3306,3459,5.28%,25.03%,26.19%
"5896","5896.영등포구청역 6번출구",Group 1,Group 1,13206,2280,2757,2799,17.26%,20.88%,21.19%
"4145","4145.청량리동 주민센터",Group 1,Group 3,13184,1245,2441,3225,9.44%,18.51%,24.46%
"4102","4102. 휘경1동주민센터 앞",Group 1,Group 1,13175,2302,2139,3590,17.47%,16.24%,27.25%
"233","233. 양평1동 YP센터 앞",Group 1,Group 2,13122,1356,4464,2147,10.33%,34.02%,16.36%
