대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"852","852. 청암자이아파트 앞",10973,15.83%,16.79%,29.67%
"2415","2415.한티역 롯데백화점 앞",10961,7.74%,19.93%,27.69%
"1322","1322. 래미안라센트아파트 103동 앞",10956,23.10%,9.10%,25.59%
"3628","3628. 역삼1동 주민센터",10955,8.13%,25.26%,21.43%
"5076","5076. 메이필드호텔앞",10944,6.30%,53.51%,10.43%
"5876","5876. 에이스하이테크시티 4동 앞",10934,4.72%,41.28%,13.12%
"4520","4520. 대성유니드아파트",10927,20.86%,14.62%,24.67%
"3417","3417.창신3동주민센터",10906,18.67%,12.88%,23.25%
"2633","2633.송파학사 옆",10898,17.02%,14.25%,32.70%
"2410","2410. 포스코피앤에스타워 (역삼역 3번출구 부근)",10872,13.15%,28.61%,15.68%
"1068","1068.명일파출소",10866,10.58%,18.66%,24.94%
"2175","2175. 신림동걷고싶은문화의거리입구",10858,6.71%,13.80%,28.77%
"1806","1806. 에이스하이엔드타워9차 앞",10856,11.72%,48.25%,12.04%
"817","817. 삼각지역 4번출구 앞",10850,18.13%,13.63%,27.86%
"2920","2920.상계중학교(당현2교사거리)",10848,12.57%,15.59%,29.29%
"1016","1016. 해뜨는 주유소옆 리엔파크 109동앞",10841,16.18%,16.10%,25.62%
"2276","2276. 영동1교 (양재천근린공원)",10831,10.98%,19.27%,32.06%
"2206","2206. 언남초등학교 앞",10816,25.15%,15.67%,21.27%
"4084","4084. 도봉동실내스포츠센터",10806,14.83%,14.77%,24.25%
"1916","1916. 구로중학교앞",10796,20.18%,15.54%,25.26%
"485","485.서울역5번출구",10784,17.36%,26.47%,19.38%
"3812","3812. KT관악지점",10780,12.89%,12.80%,26.42%
"5090","5090. 대상연구소",10772,4.31%,52.27%,9.07%
"5329","5329. 상계주공15단지 1509동 앞",10750,21.74%,13.85%,22.74%
"3529","3529. 어린이대공원정문",10747,13.95%,17.97%,28.58%
"4226","4226. 마포프레스티지자이 1",10746,25.32%,13.81%,23.98%
"2912","2912.대진고등학교",10737,7.27%,15.00%,31.27%
"3516","3516. 구의아리수정수센터앞",10725,28.59%,11.29%,24.52%
"1639","1639. 희성오피앙",10723,14.51%,16.51%,27.53%
"4791","4791. 명동역9번 출구",10705,15.84%,19.50%,24.90%
"828","828. 숙대입구역 8번",10703,8.30%,17.80%,27.09%
"1395","1395.래미안장위포레카운티(102동)",10703,19.56%,13.31%,28.71%
"1514","1514. 강북구청 사거리 버스정류소 앞",10688,7.85%,17.18%,24.77%
"4211","4211. 시석빌딩 앞",10687,2.75%,18.30%,34.93%
"1196","1196. 서울식물원(문화센터) 건너편",10682,18.66%,37.47%,11.70%
"2082","2082.7호선 이수역7번출구",10674,10.31%,21.42%,23.78%
"836","836. 현대자동차서비스 앞",10669,6.21%,23.94%,32.23%
"1690","1690. 도봉운전면허시험장 버스정류장 옆",10666,12.39%,16.59%,21.84%
"673","673.안암골벽산아파트(후문)",10658,12.17%,16.16%,25.73%
"5335","5335. 하계역 1번 출구",10653,8.67%,23.05%,24.42%
"445","445.대한상공회의소",10651,8.64%,36.16%,11.57%
"301","301. 경복궁역 7번출구 앞",10633,20.61%,12.80%,22.46%
"5894","5894.영등포세무서",10628,9.06%,29.82%,18.48%
"3425","3425.광화문 풍림스페이스본 1단지앞",10620,25.39%,12.31%,22.82%
"5775","5775. 가락시장역 5번출구",10615,13.52%,23.01%,18.72%
"4008","4008. 하계 어린이 공원",10586,18.62%,14.53%,26.59%
"1526","1526. 강북종합시장 앞",10582,13.40%,12.69%,26.43%
"379","379. 서울역9번출구",10565,13.88%,23.99%,22.39%
"3985","3985. 디폴리스 지식산업센터",10542,7.69%,55.41%,11.34%
"464","464. 삼청동 골목",10526,14.54%,15.29%,21.60%
"586","586. 마장동 주민센터",10523,26.61%,8.82%,25.92%
"637","637. KAIST 경영대학 앞",10510,8.05%,20.58%,21.70%
"4636","4636. 용산구꿈나무종합타운 앞",10501,12.48%,17.30%,26.25%
"640","640. 동대문경찰서 교차로",10493,19.93%,15.87%,23.53%
"506","506. 금호 어울림 아파트 앞",10487,6.55%,40.87%,17.86%
"4350","4350.누리숲어린이공원 앞",10485,13.59%,19.12%,26.02%
"3547","3547.상왕십리역 6번 출입구",10469,8.70%,21.70%,26.34%
"2547","2547. 반포래미안 리오센트",10468,16.72%,17.50%,27.41%
"5328","5328.롯데캐슬시그니처아파트 앞",10466,18.79%,14.87%,24.07%
"441","441.염천교사거리",10454,13.87%,35.25%,9.61%
"1302","1302. 한성대입구역6번출구 뒤",10454,18.59%,14.63%,24.38%
"128","128. 신촌역(2호선) 1번출구 옆",10442,10.09%,22.66%,24.54%
"4576","4576.보라매sk뷰 108동 앞",10440,26.08%,12.09%,23.64%
"2105","2105. 미성동 신림체육센터",10436,17.09%,11.96%,25.21%
"4545","4545. 청소년음악센터",10422,13.91%,10.21%,23.79%
"3801","3801. 이랜드글로벌R&D센터",10415,3.46%,55.00%,8.29%
"1145","1145. 곰달래 문화복지센터 B",10410,12.28%,13.02%,28.12%
"1930","1930. 개봉지구대 개봉치안센터",10408,21.90%,12.77%,24.08%
"461","461. 서울경찰청",10395,23.50%,16.96%,18.86%
"3718","3718. 번동3단지 버스정류장",10377,9.61%,18.70%,27.55%
"1469","1469.먹골역 4번출구",10370,13.02%,18.14%,25.95%
"1540","1540. 가오리역",10362,12.43%,16.55%,27.52%
"1332","1332. 석계역 5번출구 건너편",10358,9.51%,16.71%,27.58%
"5318","5318. 극동의 푸른별 아파트 뒤(중계4동주민센터 앞)",10356,24.10%,9.96%,21.39%
"1339","1339. 삼성전자서비스 성북센터",10355,15.00%,15.01%,24.58%
"5506","5506. 월드컵참누리아파트",10353,23.59%,13.42%,26.18%
"3505","3505. 신양초교앞 교차로",10351,10.36%,14.72%,29.04%
"5764","5764. 한국체육대학교",10341,6.28%,21.51%,29.36%
"3786","3786. 강서힐스테이트 상가 앞",10332,12.85%,16.14%,26.46%
"1468","1468.먹골역 7번 출구",10327,10.72%,16.20%,26.58%
"6176","6176. 유광사 여성병원 앞",10313,15.22%,15.75%,26.18%
"526","526. 용답토속공원 앞",10309,17.40%,35.90%,11.14%
"2315","2315. 봉은사역 5번출구 옆",10303,13.24%,29.06%,21.32%
"1464","1464.중화역 4번출구",10298,10.21%,17.74%,27.52%
"4463","4463. 방이역 2번 출구",10239,18.32%,16.00%,25.25%
"6178","6178. 마스터밸류에이스 지식산업센터",10230,6.65%,31.05%,22.13%
"1869","1869.롯데캐슬골드파크3차 301동 앞",10226,31.28%,10.79%,19.37%
"2655","2655.송이공원",10223,17.38%,14.81%,28.01%
"115","115. 마스타 빌딩 앞",10221,11.30%,14.61%,27.25%
"440","440. 하늘공원 입구",10210,2.67%,17.00%,48.90%
"3558","3558.마장동 금호어울림APT앞",10192,14.06%,13.98%,28.39%
"4269","4269. 연희IC 남측",10190,10.45%,15.72%,28.52%
"4826","4826. 홈플러스 면목점",10181,15.98%,13.73%,25.16%
"782","782.서남병원 후문",10178,24.68%,16.62%,22.06%
"191","191. 서우빌딩",10164,19.51%,11.97%,24.95%
"3103","3103. 홍제삼거리 북측",10152,12.99%,15.34%,27.80%
"1217","1217. 송파파인타운 7단지",10147,12.92%,17.40%,26.87%
"3207","3207.양남사거리1",10140,13.93%,26.56%,17.41%
"3520","3520. 광진경찰서",10109,21.67%,13.37%,23.93%
"4860","4860. 가락쌍용2차아파트 103동",10107,13.61%,18.53%,28.39%
"3815","3815. 광일빌딩",10089,18.46%,11.01%,28.06%
"4123","4123. 배봉초교 교차로",10082,15.80%,22.22%,24.52%
"3123","3123.DMC파크뷰자이1단지 110동 앞",10077,20.39%,12.98%,29.02%
"353","353. 재동초교 앞 삼거리",10076,8.68%,21.70%,29.30%
"1828","1828. 독산동 한양수자인아파트 앞",10066,28.36%,12.64%,21.24%
"4320","4320. 비석공원",10056,12.20%,23.61%,27.40%
"925","925. 불광역 2번출구",10055,7.89%,21.76%,25.21%
"122","122. 신성기사식당 앞",10037,17.11%,15.15%,26.90%
"1719","1719. 신도봉사거리 버스정류장",10031,15.56%,17.91%,25.21%
"2606","2606. 위례동주민센터",10029,20.18%,18.93%,25.24%
"4133","4133.래미안허브리츠아파트 앞",10028,15.48%,17.60%,24.89%
"2390","2390. 구룡마을 입구 (래미안블레스티지 아파트)",10020,18.51%,12.39%,26.71%
"5342","5342. 상계공원 입구",10017,21.89%,12.43%,26.59%
"4367","4367. kt 행당빌딩 앞",10010,10.29%,15.77%,27.02%
"344","344. 성균관대 E하우스 앞",10002,17.60%,13.23%,23.54%
"2212","2212.서초현대4차아파트 201동 맞은편",9986,20.80%,12.77%,26.99%
"520","520. 상왕십리역 4번 출구 앞",9981,15.17%,19.17%,22.29%
"3311","3311.서울대입구역 4번 출구",9954,5.82%,20.86%,25.97%
"4146","4146.이삭어린이공원",9952,17.31%,18.86%,26.09%
"1429","1429. 장안중학교",9947,11.64%,15.86%,26.36%
"1734","1734. 쌍문현대1차아파트 108동 앞",9945,23.35%,10.87%,27.12%
"2089","2089.사당역10번출구(금강빌딩)",9939,10.80%,16.18%,25.98%
"387","387. 훈련원공원주차장 앞",9927,10.03%,22.25%,22.55%
"4025","4025. 한천교 동편",9920,10.75%,14.39%,33.36%
"4147","4147.청량리역광장",9912,12.31%,19.65%,27.39%
"4370","4370. 성동교 사거리",9904,4.99%,34.40%,19.98%
"2550","2550.양재동 꽃시장 건너편",9901,15.81%,25.12%,20.03%
"1403","1403. 중화빌딩 앞 (동부시장)",9897,6.92%,19.51%,29.07%
"4573","4573. 두산위브아파트",9880,30.45%,12.46%,26.83%
"4653","4653. 불광역 9번 출구 맞은편",9873,9.81%,16.58%,25.22%
"1170","1170. 강서구보건소",9850,12.06%,15.41%,25.09%
"4105","4105. 서울교통공사사거리 교통섬",9847,16.37%,25.99%,16.59%
"5753","5753. 호반써밋",9845,18.09%,16.96%,25.41%
"4603","4603. 한강GS에클라트 건너편 교통섬",9841,17.54%,22.16%,22.68%
"2241","2241.양재전화국 사거리",9826,13.97%,25.17%,24.38%
"2420","2420.학여울역 사거리(LG베스트샵 앞)",9816,31.18%,19.51%,23.31%
"4846","4846. 상봉동양엔파트 앞",9795,12.71%,12.69%,25.39%
"5759","5759. 풍납근린공원",9784,10.37%,21.39%,26.56%
"5330","5330. 구립수락노인종합복지관",9782,20.50%,16.14%,23.96%
"4212","4212. 한화오벨리스크 앞",9776,24.50%,12.84%,25.57%
"4117","4117. 휘경119안전센터 앞",9765,12.02%,18.38%,26.12%
"285","285. 콤텍시스템 앞",9747,12.15%,24.89%,22.37%
"408","408. LG CNS앞",9744,7.38%,35.32%,11.63%
"1553","1553.서울북부고용노동지청",9738,12.14%,15.60%,27.68%
"105","105. 합정역 5번출구 앞",9733,5.63%,21.18%,29.71%
"1340","1340. 광운초등학교 앞",9728,31.29%,11.52%,22.01%
"4710","4710. 자교교회 앞",9727,18.40%,14.26%,26.12%
"3420","3420. 성균관대입구 사거리 B",9725,9.19%,16.50%,26.70%
"4485","4485. 잠실나루역 고가하부",9718,8.07%,23.16%,27.11%
"617","617. 청솔우성아파트 앞",9715,24.99%,9.79%,25.16%
"4689","4689. 은평서해그랑블아파트앞",9707,22.23%,13.21%,25.89%
"4962","4962.고덕비즈밸리 디엠스퀘어 앞",9689,2.03%,48.08%,12.79%
"195","195. 모래내고가차도",9683,17.60%,12.99%,26.26%
"3552","3552.서울숲 공영주차장앞",9673,2.23%,15.49%,47.93%
"6180","6180.양천향교역 3번출구",9660,19.54%,18.37%,23.67%
"1833","1833. 독산역 1번출구 A",9657,31.42%,15.29%,18.29%
"5313","5313. 중계주공2단지 앞",9656,14.11%,12.79%,30.22%
"156","156. 서울서부지방법원 앞",9651,10.76%,24.56%,21.33%
"3707","3707. 드래곤타워 앞",9643,16.87%,14.94%,25.21%
"430","430. 장충동먹자골목 앞",9620,14.33%,19.14%,22.69%
"3963","3963. 에이스 하드웨어(시흥대로 396) 앞",9611,28.28%,13.73%,20.57%
"251","251. 서울지방병무청 버스정류장",9599,11.28%,17.44%,25.87%
"2514","2514.사평역 2번출구",9591,19.16%,19.03%,23.62%
"2654","2654.올림픽선수촌아파트 136동 앞",9591,16.03%,14.68%,25.58%
"394","394. 경희궁 자이 3단지",9589,29.27%,21.91%,16.68%
"5310","5310. 목련아파트",9588,25.39%,12.54%,20.21%
"2427","2427.개포고등학교 정문앞",9584,14.23%,16.59%,25.28%
"3816","3816. 관악 GSfresh",9580,21.56%,14.48%,24.33%
"982","982. 녹번초등학교(서오릉로)",9574,15.82%,15.87%,26.02%
"5758","5758. 올림픽선수기자촌아파트 123동 근처",9566,15.03%,12.80%,29.17%
"390","390. 충무로역 1번출구",9565,10.35%,24.15%,20.82%
"3551","3551.성동도로사업소",9564,6.89%,29.09%,12.19%
"4274","4274. 신촌 파랑고래 입구",9558,5.41%,15.82%,29.85%
"332","332. 을지로2가 사거리 남측",9537,17.26%,20.81%,14.09%
"4544","4544.경창시장",9529,24.50%,16.32%,22.99%
"4902","4902. 구역삼세무서 교차로",9528,14.11%,28.20%,15.53%
"4842","4842. 면목라온프라이빗 아파트",9522,25.64%,10.59%,26.69%
"1060","1060. 천일초교 사거리",9520,14.13%,17.55%,26.79%
"1659","1659. 중계동 을지중학교",9519,15.33%,11.32%,28.35%
"930","930. 구 서부경찰서 건너편",9508,16.56%,19.49%,25.40%
"1560","1560. 도봉세무서 앞",9499,8.46%,17.77%,25.93%
"813","813. 삼각지역 3번출구",9498,6.80%,14.49%,33.01%
"5067","5067. 주원 리젠트 앞",9497,23.60%,11.40%,23.26%
"3543","3543. 세종대학교(학술정보원)",9494,3.96%,23.29%,16.22%
"1247","1247. 문정 법조단지11",9491,10.83%,22.54%,27.03%
"2301","2301. 현대고등학교 건너편",9467,4.35%,20.72%,34.13%
"4216","4216. 망원정 앞",9464,22.77%,14.77%,29.60%
"2170","2170. 조원동 강남힐병원",9463,24.34%,11.20%,26.09%
"714","714. 한국SGI 양천문화회관 앞",9460,23.01%,16.33%,23.42%
"452","452. 동대문 종합시장 버스정류장",9452,12.53%,18.49%,21.52%
"4552","4552. 코레일유통본사",9434,19.42%,27.50%,9.70%
"4175","4175. 대방역2번출구",9432,11.58%,19.83%,23.46%
"2009","2009. 보라매역 8번출구",9423,9.44%,18.08%,26.65%
"1402","1402. 금란주차장 앞",9420,14.86%,12.78%,25.89%
"1976","1976. 남구로역 5번 출입구 앞",9419,21.78%,17.86%,17.17%
"3912","3912. 삼호아파트 앞",9413,10.85%,14.20%,27.04%
"4423","4423.현대백화점 미아점",9390,19.00%,11.73%,30.59%
"950","950. 구산역 2번 출구 예일여고 버스정류장",9349,13.64%,16.38%,28.57%
"1750","1750. 창포원 남쪽 입구",9348,6.56%,16.62%,32.86%
"4095","4095. 방학브라운스톤아파트",9336,14.60%,15.61%,24.51%
"3618","3618. 서울율현초교 삼거리",9317,18.04%,15.64%,25.10%
"750","750. 연의근린공원 건너편",9314,28.57%,12.10%,24.07%
"4518","4518. 청기와빌딩",9312,17.36%,17.31%,25.76%
"1239","1239. 문정 법조단지3",9309,22.45%,24.50%,20.08%
"4104","4104. 외대앞역 교차로",9308,10.27%,16.73%,28.67%
"720","720. 서울강월초등학교 앞",9294,16.02%,14.23%,25.92%
"1336","1336. 성북3교 위",9284,19.18%,12.71%,26.38%
"591","591. 건국대학교 (행정관)",9278,4.91%,20.79%,13.05%
"4800","4800. 필동 삼거리",9271,11.33%,21.85%,15.89%
"3008","3008.DMC역7번출구",9268,31.17%,24.08%,12.73%
"1437","1437. 늘푸른공원 앞",9265,18.32%,16.82%,24.53%
"1139","1139. 용문사 버스정류장",9264,23.24%,11.64%,21.66%
"1346","1346. 길음8골어린이공원 옆",9259,17.52%,11.29%,26.90%
"1754","1754. 창동시장입구 사거리",9259,8.81%,16.95%,27.27%
"4329","4329. SC제일은행 양재동지점 앞",9240,22.34%,22.41%,19.22%
"1289","1289. 풍납토성 서성벽터B",9227,17.06%,22.71%,21.60%
"665","665.이문동 쌍용아파트 정문",9226,22.56%,12.49%,28.08%
"2317","2317. 삼성도로공원",9213,5.64%,26.13%,30.17%
"1454","1454. 한국전력공사(동대문 중랑지사)",9207,14.64%,14.39%,24.86%
"2353","2353. 강남구청역 2번출구 뒤",9206,10.10%,26.90%,21.97%
"282","282. 신한은행 대림동지점",9204,14.96%,15.04%,25.09%
"4116","4116. 이문e편한세상아파트 앞",9167,16.64%,16.90%,25.31%
"4640","4640. 원효로2가 교차로",9166,14.17%,18.27%,26.64%
"3115","3115.북아현 치안센터 인근",9164,22.02%,10.89%,27.99%
"1214","1214. 오금역 7번 출구 인근",9156,21.44%,15.31%,21.31%
"391","391. 시립미술관",9137,16.21%,25.26%,18.57%
"2389","2389. 경기여자고등학교 후문 (삼성로3길 입구)",9128,20.90%,12.55%,25.92%
"4394","4394.서울시립24시간게스트하우스",9128,9.57%,34.91%,18.05%
"5152","5152.이스트폴 105동 방면 입구",9114,14.46%,15.73%,29.58%
"2237","2237.서울남부터미널 대합실 입구",9111,12.91%,26.61%,23.17%
"2652","2652.송파 레미니스1단지 102동 앞",9108,23.53%,17.75%,24.01%
"2325","2325. 대치삼성아파트 앞 교차로",9105,6.02%,18.86%,28.50%
"3956","3956. 대륭테크노타운21차 앞",9103,12.49%,34.16%,17.70%
"3104","3104. e편한세상 신촌4단지 앞",9099,13.73%,14.17%,26.23%
"1993","1993. 금강수목원아파트 앞",9097,20.52%,14.97%,24.03%
"1300","1300. 오륜사거리",9093,18.55%,17.35%,28.73%
"733","733. 신정이펜하우스314동",9088,20.74%,13.80%,26.14%
"2250","2250. 서초유치원 맞은편",9081,16.64%,16.04%,26.89%
"1532","1532. 번3동 주민센터 교차로",9072,16.18%,17.98%,25.78%
"4951","4951. 강동농협 버스정류소 앞(광채빌라)",9065,18.96%,15.79%,27.19%
"2271","2271. 내방역 8번출구 앞",9062,10.55%,21.08%,25.84%
"1425","1425. 신성미소지움아파트",9059,14.66%,13.37%,18.29%
"4035","4035. 휴플러스 수락한신아파트 101동 앞",9059,23.13%,12.32%,28.22%
"2242","2242.양재역 10번 출구 앞",9041,23.88%,22.49%,17.51%
"1159","1159. 서서울모터리움 앞",9038,8.10%,37.75%,13.04%
"3753","3753. 공항중학교 버스정류장",9033,27.33%,15.00%,21.50%
"2524","2524.반포쇼핑타운 8동 앞",9018,5.81%,20.03%,28.39%
"1391","1391.성북청소년센터",9017,16.67%,12.24%,28.20%
"2156","2156. 신림푸르지오아파트",9013,20.45%,14.04%,25.11%
"2215","2215. 반포종합운동장 입구",9002,9.68%,13.41%,29.29%
"3686","3686. 고덕 래미안 힐스테이트(101동)",8999,19.88%,12.52%,28.20%
"607","607. 신이문역 2번출구",8992,13.31%,22.53%,22.60%
"1862","1862.MD호텔 앞",8984,32.40%,15.33%,18.02%
"4923","4923.수협대치동지점",8982,13.73%,20.31%,27.12%
"4408","4408. 돌곶이역 앞",8978,7.91%,25.35%,21.05%
"5864","5864.장훈고 앞",8976,23.67%,9.80%,21.02%
"395","395. 경희궁 자이 2단지",8959,32.28%,13.93%,21.81%
"1527","1527. 미아역 1번 출구 뒤",8959,13.34%,15.77%,24.69%
"1727","1727. 서울도봉초등학교인근",8955,15.38%,12.26%,29.21%
"628","628. 휘봉고등학교 앞",8945,14.96%,13.47%,22.84%
"2529","2529.우리은행 방배동지점 앞",8930,11.84%,20.87%,26.39%
"948","948. 디지털미디어 시티역 4번출구(DMC역)",8913,12.68%,30.80%,20.40%
"3130","3130.가재울사거리",8912,23.95%,12.87%,25.22%
"2095","2095.경문고등학교 앞",8907,18.10%,12.80%,24.26%
"4341","4341. 영동1교 북단",8906,13.53%,20.09%,30.91%
"5782","5782. 오금현대 아파트 상가입구 앞",8897,12.73%,21.57%,23.75%
"4040","4040. 공릉로 26길",8893,13.68%,10.82%,30.96%
"126","126. 서강대 후문 옆",8883,7.93%,18.20%,18.88%
"2820","2820.신세기아파트 앞",8875,29.13%,13.52%,23.52%
"676","676.FITI시험연구원 앞",8872,18.58%,14.24%,21.33%
"2299","2299. 한전아트센터 앞",8868,23.34%,19.00%,17.75%
"713","713. 양서중학교 옆",8863,21.08%,14.31%,21.79%
"2266","2266. 서초역 3번출구",8862,16.05%,22.75%,24.31%
"3122","3122.북가좌삼거리2",8861,24.30%,12.09%,25.80%
"3412","3412.세운상가",8854,14.06%,20.61%,17.70%
"960","960. 구파발역 환승센터",8850,3.84%,28.19%,20.68%
"1228","1228. 마천사거리",8831,20.87%,14.58%,27.91%
"809","809. 한남 유수지 복개주차장",8820,7.59%,21.05%,29.44%
"652","652. 답십리 래미안엘파인아파트 입구",8782,27.36%,12.73%,25.34%
"4847","4847. 신내역시티프라디움 앞",8766,10.38%,13.91%,23.88%
"4639","4639. 동빙고근린공원",8758,6.22%,15.03%,45.22%
"1936","1936. 개봉역 1번 출구 자전거보관서쪽",8757,17.60%,22.78%,22.51%
"3129","3129.DMC래미안e편한세상203동옆",8749,26.01%,13.12%,25.26%
"2293","2293. SPC 앞",8738,11.27%,26.34%,20.84%
"820","820. 청파동입구 교차로",8737,15.03%,21.19%,21.96%
"4835","4835. 망우동 본죽 앞",8724,20.36%,11.33%,25.46%
"4202","4202. 프런트원(공덕역4번출구 앞)",8719,12.17%,22.56%,20.61%
"3903","3903. 현대아파트 앞",8714,23.05%,16.98%,24.12%
"903","903. 은평뉴타운 아이파크",8710,19.66%,12.88%,25.88%
"775","775.세종그랑시아 앞(102동)",8702,14.59%,13.48%,26.60%
"3986","3986.청년주택 독산동점",8700,39.62%,11.00%,21.70%
"1641","1641. 한내근린공원 남측",8688,14.55%,17.06%,29.28%
"2657","2657.송파 파인타운 11단지",8682,17.93%,10.82%,27.06%
"2712","2712.화곡터널입구교차로",8678,16.04%,13.42%,27.88%
"2394","2394. 개포래미안포레스트아파트 107동 앞",8675,27.44%,11.30%,24.54%
"2227","2227.방배열린문화센터 앞",8673,18.22%,21.05%,17.93%
"4918","4918. 매봉역 1번출구",8661,11.81%,24.40%,23.59%
"4797","4797. KG타워 앞",8656,16.28%,26.34%,15.84%
"1073","1073. SSTS 몰 앞",8644,15.98%,12.63%,28.46%
"1981","1981. 천왕지구삼거리 앞",8643,28.64%,12.51%,22.57%
"347","347. 동대문역사문화공원역 9번출구 앞",8639,7.21%,18.40%,24.41%
"4307","4307. 고투몰 gate 15옆",8638,15.63%,15.47%,27.25%
"3127","3127.홍은2파출소 옆",8637,13.58%,19.20%,26.05%
"1854","1854. 가산아네스트 오피스텔 앞",8633,35.54%,15.27%,20.75%
"1326","1326. 상월곡역 1번출구",8631,14.08%,13.82%,26.44%
"5509","5509.신석초교 앞",8626,17.81%,14.31%,28.53%
"518","518. 청계천 박물관 앞",8614,4.64%,38.63%,20.03%
"1628","1628. 노일초등학교 앞",8612,12.17%,17.23%,25.03%
"1671","1671. 인덕대학교",8606,16.77%,13.82%,20.10%
"476","476.광희문",8598,13.40%,13.08%,25.35%
"1564","1564.4.19민주묘지역 1번출구",8598,6.30%,18.45%,27.93%
"1290","1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑",8596,30.49%,8.15%,24.78%
"666","666.이문대성유니드아파트 앞",8590,9.60%,22.76%,30.08%
"1240","1240. 문정 법조단지4",8582,18.88%,18.19%,24.69%
"1420","1420. 신내어울공원 앞",8582,10.76%,22.20%,24.52%
"4857","4857. 올림픽공원 장미광장",8580,11.31%,19.78%,35.43%
"2631","2631.배명고등학교",8569,19.62%,14.20%,23.66%
"4054","4054. 창동한신아파트 버스정류소",8564,12.03%,13.37%,27.30%
"358","358. 성균관대입구 사거리 A",8562,5.48%,17.99%,28.07%
"2245","2245.양재초등학교 맞은편",8554,15.20%,23.07%,24.00%
"4414","4414. 안암역 3번 출구",8553,6.38%,17.99%,26.33%
"3642","3642. 강남자곡힐스테이트",8544,19.19%,8.03%,27.89%
"2418","2418.봉은사역 7번 출구",8540,14.11%,29.26%,19.92%
"1616","1616. 하계2동 공항버스정류장 옆",8522,11.01%,19.16%,25.06%
"2164","2164. 관악우체국",8511,11.19%,13.84%,25.88%
"324","324. 신세계백화점 본점 앞",8498,5.41%,28.47%,21.52%
"2172","2172. 나들목공원",8479,6.43%,18.82%,32.99%
"3643","3643. 더시그넘하우스 앞",8479,17.35%,17.82%,20.13%
"759","759. 보아스아파트 앞",8475,24.97%,13.30%,24.48%
"1839","1839. 수출의 다리 아래",8470,2.96%,41.38%,15.93%
"1536","1536. 번동 두산위브 101동 옆",8464,9.48%,15.70%,25.76%
"1065","1065.보훈병원 후문옆(더 원커피)",8458,12.59%,23.47%,20.52%
"3694","3694. 강동리엔파크 13단지(1303동 앞)",8452,27.46%,20.55%,17.57%
"4871","4871. 오금동 대림아파트 정문",8441,13.41%,16.49%,25.68%
"188","188. 홍은동 정원여중 입구",8440,16.98%,16.53%,27.43%
"767","767.신정숲속마을아파트",8438,35.48%,10.99%,22.23%
"1829","1829. 홈플러스 금천점 앞",8428,13.46%,19.70%,23.77%
"436","436. 이대역 5번출구",8426,7.79%,24.06%,25.80%
"5861","5861. 보라주유소 앞",8420,18.71%,16.41%,24.30%
"162","162. 봉원고가차도 밑",8405,15.86%,16.53%,24.85%
"4638","4638. 청파동삼거리 앞",8400,19.69%,10.39%,27.99%
"2251","2251. 더케이호텔 입구(양재2)",8399,13.49%,32.93%,17.30%
"811","811. 녹사평역1번출구",8397,9.16%,22.34%,29.24%
"2178","2178. 서울대학교 정문",8386,3.88%,26.75%,27.01%
"2239","2239.교대역 6번출구",8386,16.96%,21.17%,17.51%
"413","413. 상암월드컵파크 3단지 후문",8371,16.23%,15.29%,31.75%
"3007","3007.MBC 앞",8350,9.13%,35.04%,13.75%
"1089","1089.고덕 래미안힐스테이트(201동)",8347,24.40%,10.34%,24.28%
"2307","2307. 압구정 한양 3차 아파트",8346,7.24%,24.35%,29.61%
"3792","3792. 화곡본동시장 입구",8333,16.36%,15.82%,24.28%
"4931","4931. 디에이치퍼스티어아이파크 124동 앞",8332,19.92%,12.96%,24.81%
"4392","4392. 답십리역 6번출구",8327,14.48%,23.60%,20.25%
"2521","2521.서초 크로바타워 앞",8326,16.32%,16.75%,23.26%
"1256","1256. 문정현대아파트 교차로",8310,14.45%,18.76%,23.19%
"337","337. 창경궁 입구",8296,16.04%,16.83%,21.89%
"971","971. 역촌 센트레빌 아파트",8296,36.10%,7.51%,22.78%
"774","774.등촌역 4번 출구",8278,11.67%,18.19%,26.82%
"1870","1870.독산3동주민센터 앞",8252,25.70%,13.41%,21.69%
"4073","4073.방아골종합사회복지관",8246,21.50%,11.82%,25.50%
"979","979.원풍빌라앞",8245,23.29%,9.97%,22.67%
"1367","1367. 길음문화복합미디어센터",8242,17.52%,11.95%,26.03%
"1752","1752. 창동 주공 4단지 입구 옆",8239,18.13%,14.36%,26.37%
"4616","4616. 신용산지하차도 앞",8231,16.04%,19.05%,26.87%
"2634","2634.위례포레샤인아파트 정류장",8228,30.69%,9.56%,22.35%
"338","338. 세운스퀘어 앞",8226,10.05%,25.18%,15.84%
"2360","2360. 도곡1동 주민센터 교차로",8222,12.33%,24.05%,19.40%
"2405","2405. 청담공원앞 교차로",8221,25.28%,19.86%,18.72%
"654","654. 전농동 텃골공원",8217,16.79%,13.51%,28.22%
"1702","1702. 녹천역 1번출구 앞",8217,22.06%,15.30%,26.75%
"5322","5322.노원성당 앞",8216,23.50%,12.01%,28.21%
"1368","1368. 성신여대입구 교차로",8213,16.94%,16.17%,24.05%
"4221","4221. 솔리스타오피스텔(공덕동주민센터)",8194,33.46%,10.02%,25.14%
"4808","4808. 신내2동 주민센터 앞",8190,6.68%,23.10%,22.21%
