대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"431","431. 청계천 영도교",42101,14.90%,14.11%,24.62%
"2136","2136. 신림역 8번출구",41976,8.20%,15.84%,28.87%
"1209","1209. 잠실나루역 (2번 출구 쪽)",41960,19.91%,24.47%,21.20%
"4233","4233. 코오롱아파트사거리",41838,15.80%,16.37%,27.48%
"2824","2824.미래사랑어린이공원 앞",41804,12.30%,25.60%,24.73%
"228","228. 선유도역 3번출구 앞",41758,11.36%,20.20%,29.43%
"4897","4897. 잠실주공5단지1",41740,28.20%,11.72%,26.85%
"1684","1684. 태릉입구역 5번출구",41679,6.67%,20.86%,26.12%
"3575","3575. 자양사거리(서원빌딩)",41602,11.38%,16.98%,26.10%
"5882","5882. 휴젠느",41285,26.22%,15.80%,24.71%
"996","996.응암역2번출구 국민은행 앞",41248,8.93%,20.06%,27.76%
"3511","3511. 응봉역 1번출구",41189,12.04%,13.59%,35.74%
"907","907. CJ 드림시티",41059,9.35%,16.54%,30.24%
"853","853.용산역 맞은편",40797,5.83%,19.26%,35.31%
"744","744. 신목동역 2번 출구",40741,18.70%,24.59%,19.71%
"1264","1264. 천호역 10번 출구 앞",40738,14.80%,24.00%,24.63%
"5070","5070. 마곡13단지힐스테이트마스터 후문(1320동 앞)",40631,31.50%,11.88%,22.70%
"584","584. 광진광장 교통섬",40596,24.59%,14.59%,20.15%
"5867","5867. H타워 앞",40583,34.84%,20.26%,19.17%
"4509","4509. 서울영상고교 입구",40395,17.38%,13.13%,24.77%
"4540","4540. 목동역 3번 출구",40301,12.20%,23.40%,21.50%
"245","245. 삼성생명 당산사옥 앞",40168,17.27%,21.86%,20.33%
"2623","2623.석촌동 주민센터",40120,18.60%,15.75%,26.93%
"2621","2621. 한성백제역 2번 출구",40094,10.87%,16.30%,36.18%
"5870","5870. LG트윈타워 앞",39905,10.54%,28.89%,22.60%
"4547","4547. 목동역 2번 출구",39903,9.63%,20.01%,24.96%
"1653","1653. 노원역1번출구",39830,7.15%,23.33%,27.84%
"280","280. 양평동6차현대아파트 앞",39736,27.95%,12.20%,23.52%
"4515","4515. 동문굿모닝탑",39680,11.54%,15.27%,28.21%
"1106","1106. 신방화사거리",39587,18.93%,17.28%,25.05%
"631","631. 답십리역 1번출구",39342,18.61%,22.55%,19.89%
"1010","1010. 강동세무서",39256,12.96%,19.18%,24.23%
"5866","5866.포레나 당산",39226,7.47%,21.23%,27.63%
"1650","1650. 중계근린공원내",39150,13.40%,15.98%,27.72%
"4865","4865. 한성백제역 1번출구 뒤",39097,17.15%,17.58%,26.75%
"2723","2723.마곡 필네이처",39086,18.52%,23.67%,19.12%
"1118","1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔)",39073,15.21%,26.15%,20.32%
"5862","5862. 당산역11번출구",39067,19.53%,23.25%,22.10%
"236","236. 문래동자이아파트 앞",38995,15.54%,14.96%,26.69%
"4514","4514. 목동성당 앞",38862,15.75%,12.88%,27.59%
"4108","4108. 답십리파크자이아파트 앞",38850,26.75%,12.41%,24.18%
"1029","1029. 성내어울터",38449,5.93%,19.34%,29.76%
"731","731. 서울시 도로환경관리센터",38340,9.02%,21.50%,30.24%
"3202","3202.당산롯데캐슬프레스티지",38309,21.32%,15.68%,26.07%
"2919","2919.등나무 근린공원(시립북서울미술관 앞)",38293,6.68%,18.67%,29.20%
"793","793.목동5단지아파트 534동",38209,10.46%,16.00%,29.10%
"788","788.양천구청역 2번출구 옆",38130,13.66%,30.54%,19.49%
"791","791.현대하이페리온",38084,8.38%,17.25%,27.80%
"1293","1293. 석촌호수 서호 사거리",38081,15.83%,16.61%,27.00%
"2720","2720.힐스테이트에코",38052,14.30%,22.54%,20.72%
"3010","3010.홍대입구역 3번출구",38015,12.20%,21.46%,26.77%
"3509","3509. 세종사이버대학교",37980,22.21%,15.45%,22.57%
"3784","3784. 벽산아파트",37956,24.51%,13.67%,26.56%
"275","275. 신동아아파트",37953,18.62%,17.83%,23.15%
"102","102. 망원역 1번출구 앞",37930,10.85%,17.77%,28.04%
"1297","1297. 석촌호수교차로(동호 팔각정 앞)",37867,11.80%,16.54%,30.58%
"1008","1008. 암사역 3번출구(국민은행앞)",37812,14.47%,16.32%,26.82%
"1231","1231. 잠실역 6번출구",37792,8.28%,24.71%,27.78%
"3772","3772. 길성그랑프리텔아파트",37772,21.14%,17.13%,24.36%
"1674","1674. 서울북부고용센터앞",37530,7.43%,21.30%,21.82%
"794","794.양천문화회관",37435,18.04%,14.33%,27.35%
"565","565. 옥수역 3번출구",37283,9.44%,20.68%,30.88%
"4868","4868. 석촌호수 서호 남단",37250,21.76%,18.23%,22.89%
"931","931. 역촌파출소",37199,22.47%,14.29%,24.33%
"780","780.신정교 하부",37098,13.28%,13.32%,34.79%
"259","259. 대방역6번출구",36877,34.30%,13.31%,21.11%
"755","755. 목동1단지아파트 상가 앞",36836,10.37%,18.78%,27.00%
"1668","1668. 중계역 6번출구",36659,11.57%,21.28%,25.93%
"2704","2704.홈플러스(강서점)",36599,18.70%,19.59%,20.09%
"1103","1103. 방화역 4번출구앞",36427,14.54%,16.87%,25.29%
"1192","1192. 마곡수명산파크 209동 건너편",36331,29.11%,12.65%,22.63%
"734","734. 신트리공원 입구",36220,24.64%,14.96%,25.20%
"670","670.삼육서울병원 버스정류장",36218,8.84%,18.26%,25.82%
"2708","2708.강서한강자이타워 앞",36216,10.86%,27.28%,20.55%
"419","419. 홈플러스 마포점 앞",36010,5.08%,19.48%,33.82%
"1611","1611. 과기대 입구(우)",35973,7.31%,18.54%,24.45%
"602","602. 장안동 사거리",35880,9.46%,17.39%,26.16%
"2641","2641.송파역 4번출구",35803,10.90%,19.37%,25.79%
"232","232. 양평우림 이비즈센타 앞",35725,18.57%,25.13%,19.46%
"361","361. 동묘앞역 1번출구 뒤",35677,13.38%,15.03%,25.48%
"4535","4535. 목동12단지 아파트",35650,23.37%,13.84%,28.43%
"3789","3789. 염창나들목",35579,19.64%,12.15%,32.62%
"1908","1908. 해원리바파크 육교 밑",35460,25.19%,19.27%,24.55%
"5095","5095. 원당근린공원",35410,14.69%,17.87%,27.07%
"147","147. 마포역 4번출구 뒤",35286,11.90%,23.95%,27.10%
"3600","3600.사근빗물펌프장 건너편",35283,10.57%,16.63%,28.02%
"1113","1113. 서남환경공원 버스정류장",35265,25.66%,13.14%,25.24%
"5333","5333. 노원역9번-10번 출구 앞",35229,5.07%,22.83%,27.21%
"290","290. 새말소공원",35200,23.90%,16.07%,19.93%
"2002","2002. 노들역 1번출구",35169,10.81%,15.71%,35.56%
"2176","2176. 보라매공원 보도육교",35163,17.34%,13.75%,29.18%
"1232","1232. 잠실주공 521동 건너편",35111,6.23%,22.33%,30.97%
"2377","2377. 수서역 5번출구",35048,11.18%,27.11%,23.60%
"4553","4553. 당산삼성2차아파트",35013,23.19%,16.25%,22.45%
"383","383. 신당역 12번 출구 뒤",34955,10.57%,15.59%,24.14%
"2744","2744.강서세무서 앞",34944,24.16%,15.97%,21.43%
"6058","6058. 시청역 2번출구",34914,26.05%,24.59%,14.78%
"1150","1150. 송정역 1번출구",34775,16.77%,19.87%,22.63%
"283","283. 아크로타워 스퀘어(영등포시장)",34651,24.76%,13.60%,23.78%
"2707","2707.한강아파트",34342,25.05%,13.23%,23.76%
"3664","3664. 맥도날드 서울둔촌DT점 앞",34342,13.46%,16.92%,25.90%
"1012","1012. 천호역효성해링턴타워 앞",34325,11.00%,18.70%,25.24%
"5883","5883. 영문초사거리",34310,12.51%,20.23%,24.56%
"1180","1180. 마곡엠밸리 15단지(1502동) 건너편",34233,17.62%,20.05%,20.02%
"1251","1251. 석촌역 2번출구",34142,10.06%,18.65%,29.02%
"278","278. 쌍용플레티넘오피스텔",34114,13.83%,15.30%,28.90%
"117","117. 홍은사거리",34067,11.62%,19.21%,28.94%
"648","648. 장안동위더스빌옆",33994,23.15%,15.62%,23.10%
"1946","1946. 구로역 광장",33888,20.11%,26.54%,17.80%
"5887","5887.나루마을 마당공원",33887,29.06%,14.80%,24.24%
"2637","2637. 아시아지하보도 14번 출구",33792,8.21%,19.90%,28.09%
"6177","6177. 마곡롯데캐슬르웨스트",33687,22.04%,17.31%,21.22%
"1914","1914. 대림역4번출구",33618,18.26%,20.79%,22.03%
"1308","1308. 안암로터리 버스정류장 앞",33562,4.18%,21.87%,24.77%
"296","296.KT플라자 영등포점",33379,20.10%,16.19%,24.48%
"5752","5752. 풍납백제문화공원 옆 인근",33268,20.73%,11.81%,29.19%
"2718","2718.마곡수명산파크1단지",33237,29.92%,11.27%,21.51%
"3570","3570.구의역 리버비스타 오피스텔",33180,9.17%,17.43%,28.39%
"415","415. DMC역 9번출구 앞",33134,20.53%,27.10%,16.12%
"206","206. KBS 앞",33082,7.39%,33.87%,21.86%
"1662","1662. 노원역7번출구",33003,4.32%,26.59%,26.08%
"3536","3536. 중앙농협(자양동)",32978,20.03%,13.69%,27.22%
"3410","3410.종로3가역 8번출구",32846,13.74%,21.96%,16.46%
"2745","2745.수명초등학교",32843,33.06%,10.31%,18.53%
"735","735. 영도초등학교",32826,21.76%,12.86%,27.58%
"1193","1193. 마곡센트럴타워 1차",32767,3.19%,31.37%,17.51%
"1163","1163. 방화동강서기동대앞",32744,23.60%,12.92%,23.59%
"1655","1655. 공릉1단지아파트",32689,18.42%,13.00%,25.68%
