대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
329,329. 청계2가 사거리 옆,16448,1271.0,4695.0,3803.0,28.54450389105058,23.12135214007782,3,3
331,331. 을지로2가 사거리 북측,13430,1472.0,4833.0,1353.0,35.986597170513775,10.07446016381236,3,4
332,332. 을지로2가 사거리 남측,9537,1646.0,1985.0,1344.0,20.81367306280801,14.092481912551117,1,3
334,334. 종로3가역 2번출구 뒤,15289,1744.0,3164.0,3296.0,20.694617044934265,21.55798286349663,3,3
335,335. 종로3가역 15번출구 뒤,14765,1738.0,3359.0,2860.0,22.749746020995598,19.37013206908229,3,3
336,336. 충무로역 6번출구 앞,14806,2669.0,2944.0,2593.0,19.883830879373228,17.51317033635013,3,3
337,337. 창경궁 입구,8296,1331.0,1396.0,1816.0,16.82738669238187,21.8900675024108,1,1
338,338. 세운스퀘어 앞,8226,827.0,2071.0,1303.0,25.176270362265985,15.840019450522732,1,3
339,339. 종로4가 사거리,14887,1061.0,3193.0,2730.0,21.448243433868473,18.338147376906026,3,3
340,340. 혜화동 로터리,14217,2041.0,2331.0,3611.0,16.395864106351553,25.399170007737215,3,1
341,341. 혜화역 3번출구 뒤,11841,1850.0,1916.0,2708.0,16.18106578836247,22.86969005996115,1,1
342,342. 대학로 마로니에공원,24850,3329.0,5059.0,6365.0,20.358148893360163,25.613682092555333,3,3
343,343. 힐스테이트창경궁 아파트 앞,14130,2464.0,2988.0,2860.0,21.146496815286625,20.240622788393487,3,3
344,344. 성균관대 E하우스 앞,10002,1760.0,1323.0,2354.0,13.227354529094182,23.53529294141172,1,1
345,345. 서울보증보험본사 앞,15988,3111.0,4119.0,1980.0,25.763072304228167,12.384288216162123,3,3
346,346. 맥스타일 앞,11168,564.0,2128.0,2346.0,19.054441260744987,21.00644699140401,1,3
347,347. 동대문역사문화공원역 9번출구 앞,8639,623.0,1590.0,2109.0,18.404907975460123,24.41254774858201,1,1
348,348. 독립문역 사거리,12220,3330.0,1251.0,2622.0,10.237315875613747,21.456628477905074,3,1
349,349. 어린이도서관,7748,1034.0,1279.0,2216.0,16.507485802787816,28.600929272070214,1,1
351,351. 청운초교 앞 삼거리,6049,1494.0,748.0,1423.0,12.365680277731856,23.524549512316085,1,1
352,352. 중앙고입구 삼거리,3419,557.0,658.0,900.0,19.245393389880082,26.323486399532026,1,1
353,353. 재동초교 앞 삼거리,10076,875.0,2186.0,2952.0,21.695117109964272,29.29734021437078,1,1
354,354. 포르투갈 대사관 앞,12475,1573.0,2359.0,2832.0,18.90981963927856,22.701402805611224,1,3
355,355. 서울사대부설초등학교 앞,15595,2216.0,3264.0,3099.0,20.929785187560114,19.871753767233088,3,3
356,356. KT혜화지사 앞,14444,2055.0,2641.0,3090.0,18.284408751038495,21.392965937413457,3,3
358,358. 성균관대입구 사거리 A,8562,469.0,1540.0,2403.0,17.986451763606635,28.065872459705677,1,1
359,359. 원남동사거리,13118,1200.0,2840.0,2743.0,21.649641713675866,20.91019972556792,1,3
361,361. 동묘앞역 1번출구 뒤,35677,4772.0,5362.0,9090.0,15.029290579364856,25.478599658043,2,2
362,362. 청계8가사거리 A,25792,5347.0,3573.0,7458.0,13.85313275434243,28.9159429280397,3,2
363,363. 신설동역 11번출구 뒤,21869,3422.0,3366.0,5542.0,15.391650281219993,25.34180803877635,3,1
364,364. 창신역 1번출구 앞,5461,1094.0,495.0,1397.0,9.064273942501373,25.581395348837212,1,1
367,367. 독립문역 3-1번출구 ,14510,6354.0,1788.0,2681.0,12.322536181943487,18.476912474155753,3,2
368,368. SK 서린빌딩 앞,20101,1003.0,7673.0,3485.0,38.172230237301626,17.337445898214018,3,4
370,370. 시청역(2호선) 9번출구 뒤,22712,2935.0,6489.0,2642.0,28.57079957731596,11.632617118703768,3,3
371,371. 동대입구역 6번출구 뒤,6003,590.0,1114.0,1596.0,18.557387972680324,26.58670664667666,1,1
372,372. 약수역 3번출구 뒤,7415,551.0,1213.0,2193.0,16.35873229939312,29.575185434929196,1,1
374,374. 신당동주민센터앞,13417,1449.0,2879.0,3050.0,21.457851978832824,22.7323544756652,3,3
379,379. 서울역9번출구,10565,1466.0,2535.0,2365.0,23.99432087079981,22.385234264079507,1,3
380,380. CJ제일제당 앞,15989,2408.0,3713.0,2614.0,23.222215273000188,16.348739758584028,3,3
381,381. 장충체육관,1286,110.0,260.0,329.0,20.21772939346812,25.58320373250389,1,1
382,382. 약수역 10번출구 앞,4245,409.0,632.0,1028.0,14.888103651354534,24.216725559481745,1,1
383,383. 신당역 12번 출구 뒤,34955,3693.0,5451.0,8438.0,15.594335574309829,24.13960806751538,2,2
384,384. 중림동삼거리,5250,1687.0,681.0,1282.0,12.971428571428573,24.419047619047618,1,1
385,385. 종각역 5번출구,19391,1694.0,5784.0,3770.0,29.828270847300292,19.44200917951627,3,3
387,387. 훈련원공원주차장 앞,9927,996.0,2209.0,2239.0,22.252442832678554,22.55464893724187,1,3
388,388. 동성중학교 앞,4439,951.0,584.0,1016.0,13.156116242396937,22.888037846361794,1,1
389,389. 을지로4가역 1번출구,12895,2506.0,3019.0,2218.0,23.412175261729352,17.2004652966266,3,3
390,390. 충무로역 1번출구,9565,990.0,2310.0,1991.0,24.15054887611082,20.815473078933614,1,3
391,391. 시립미술관,9137,1481.0,2308.0,1697.0,25.25993214402977,18.572835722884975,1,3
393,393. 동대문역 8번 출구,25228,1968.0,4546.0,4382.0,18.019660694466467,17.36958934517203,3,3
394,394. 경희궁 자이 3단지,9589,2807.0,2101.0,1599.0,21.910522473667747,16.675357180102203,1,3
395,395. 경희궁 자이 2단지,8959,2892.0,1248.0,1954.0,13.930126130148453,21.81046991851769,1,1
397,397. 종묘공영주차장 건너편,4396,247.0,805.0,1238.0,18.312101910828023,28.16196542311192,1,1
398,398. 을지로3가역 3번출구,22720,2201.0,5876.0,4985.0,25.86267605633803,21.941021126760564,3,3
399,399. 서울역 센트럴 자이아파트,11371,3250.0,1980.0,2542.0,17.412716559669335,22.355113886201742,3,3
400,400. 상암한화오벨리스크 1차 앞,14015,4627.0,1627.0,3196.0,11.60899036746343,22.804138423118086,3,1
401,401. 상암월드컵파크 10단지 앞,12226,2721.0,1568.0,3083.0,12.825126778995582,25.216751185997055,3,1
402,402. 상암월드컵파크 9단지 앞,7921,2195.0,895.0,1905.0,11.299078399192021,24.0499936876657,1,1
403,403. 부엉이공원 앞,12112,2214.0,2118.0,2753.0,17.48678996036988,22.729524438573314,1,1
405,405. DMC빌 앞,6944,670.0,2050.0,941.0,29.52188940092166,13.551267281105991,1,3
406,406. 상암월드컵파크 7단지 앞,8043,1050.0,1105.0,2345.0,13.738654730821834,29.155787641427327,1,1
407,407. 마포구 육아종합지원센터,14526,1905.0,2731.0,2851.0,18.8007710312543,19.626875946578547,3,3
408,408. LG CNS앞,9744,719.0,3442.0,1133.0,35.32430213464696,11.627668308702791,1,4
409,409. 누리꿈스퀘어 옆,22632,940.0,9476.0,3155.0,41.86991869918699,13.940438317426654,3,4
410,410. 상암중학교 옆,3321,297.0,615.0,898.0,18.51851851851852,27.040048178259564,1,1
411,411. DMC홍보관,14938,934.0,5451.0,2268.0,36.490828758869995,15.182755388940954,3,4
412,412. DMC산학협력연구센터 앞,17479,2349.0,5358.0,2835.0,30.65392757022713,16.219463356027234,3,3
413,413. 상암월드컵파크 3단지 후문,8371,1359.0,1280.0,2658.0,15.290885198900966,31.75247879584279,1,1
414,414. 상암동주민센터 옆,22818,2688.0,4836.0,4987.0,21.19379437286353,21.855552633885527,3,3
