대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중,군집_이용건수,군집_이용비중,위도,경도
1158,1158. 가양역 8번출구,51228,7541,11021,11453,0.147204653705005,0.2151362536113063,0.2235691418755368,2,1,37.56103516,126.85481262
1190,1190. 마곡역 교차로(2번출구),51145,6189,13143,11983,0.1210088962752957,0.2569752663994525,0.2342946524586958,2,1,37.5605011,126.82665253
770,770.목동역5번출구,50444,7563,11630,9877,0.1499286337324558,0.2305526920942034,0.1958012845928158,2,1,37.52571487,126.86486816
1078,1078.둔촌사거리,49945,7191,7127,15458,0.1439783762138352,0.1426969666633296,0.3095004504955451,2,3,37.52197647,127.13362122
5781,5781. 올림픽공원 수영장,49519,7562,6366,11436,0.1527090611684404,0.1285567156041115,0.2309416587572447,2,0,37.52157211,127.12688446
4561,4561. 양평역 1번출구,49418,12586,10463,9897,0.254684527904812,0.2117244728641385,0.200271156258853,2,0,37.52572632,126.88600159
3780,3780. 등촌서광아파트,49309,11197,7758,11903,0.2270782210144192,0.1573343608671845,0.2413960940193474,2,0,37.55755234,126.85625458
240,240. 문래역 4번출구 앞,48986,10085,10930,10452,0.2058751480014698,0.2231249744825052,0.2133670844731147,2,1,37.51873779,126.89557648
1020,1020. 강동경찰서,48978,9883,7768,9830,0.2017844746620931,0.1586018212258565,0.2007023561599085,2,0,37.52825165,127.12680054
1925,1925. 동양미래대학교 정문 옆,48965,6598,7521,13120,0.1347493107321556,0.1535995098539773,0.2679464923925252,2,3,37.49988937,126.86769867
5651,5651.한강버스 옥수 선착장,48408,1843,9067,19084,0.0380722194678565,0.1873037514460419,0.3942323582878863,2,3,37.53970718,127.01789856
1167,1167. 마곡수명산파크3단지 교차로,48269,11927,7364,11482,0.2470944084194825,0.1525616855538751,0.2378752408378048,2,0,37.55350876,126.8258667
1601,1601. 석계역 문화광장 내 자전거 보관소,48192,4709,10508,11461,0.0977133134130146,0.2180444887118194,0.2378195551128818,2,1,37.61518097,127.06464386
3681,3681. 길동 마루빌딩,48138,5784,8213,13375,0.120154555652499,0.1706136524159707,0.2778470231418006,2,3,37.53685379,127.13948822
207,207. 여의나루역 1번출구 앞,47872,4473,11375,15189,0.0934366644385026,0.237612800802139,0.3172835895721925,2,3,37.52715683,126.93190002
209,209. 유진투자증권빌딩 앞,47705,2420,17419,11453,0.05072843517451,0.3651399224399958,0.2400796562205219,2,2,37.52461243,126.92783356
5061,5061. 우장산동 가곡어린이공원앞,47558,6724,7490,12071,0.1413852558980613,0.157491904621725,0.2538163926153328,2,3,37.55545425,126.83751678
1184,1184. 마곡13단지,47319,15621,5526,10976,0.3301210930070373,0.1167818423888924,0.2319575646146368,2,0,37.55644989,126.815979
3668,3668. 성내삼성아파트,47247,10135,7284,11438,0.2145109742417508,0.1541685186361038,0.2420894448324761,2,0,37.53137589,127.1270752
1084,1084. 윤선생빌딩(JYP사옥),46577,5376,11627,11353,0.1154217746956652,0.249629645533203,0.2437469137127766,2,1,37.5239296,127.1291275
746,746. 목동2단지 상가,46240,2667,8333,14832,0.0576773356401384,0.1802119377162629,0.3207612456747404,2,3,37.53650284,126.87774658
1157,1157. 강서구청,46181,13367,7786,9111,0.2894480414023083,0.1685974751521188,0.1972889283471557,2,0,37.55065918,126.84976959
243,243. 이앤씨드림타워 앞,46132,5137,11640,10786,0.1113543744038845,0.2523194311974334,0.2338073354721234,2,1,37.52708435,126.89138031
1608,1608. 공릉역 1번 출구 앞,46131,5835,9464,10178,0.1264876113676269,0.205154885001409,0.220632546443823,2,1,37.62661362,127.07275391
1044,1044. 굽은다리역,46104,5723,7899,12428,0.1241323963213604,0.1713300364393545,0.2695644629533229,2,3,37.54540634,127.14267731
4940,4940.한강버스 압구정 선착장,46092,1298,8357,20197,0.0281610691660157,0.1813112904625531,0.4381888397118806,2,3,37.52643204,127.01720428
787,787.양천아파트 입구,46086,13055,6548,10702,0.2832747472117345,0.1420821941587466,0.2322180271666015,2,0,37.50790405,126.86264801
3571,3571.화양 APT(횡단보도 옆),45986,8639,8236,10310,0.1878615230722393,0.1790979863436698,0.2241986691601792,2,0,37.54434967,127.0654068
