대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"1001","1001. 광진교 남단 사거리(천호공원 방면)",18948,1872,9.88%,2950,15.57%,5823,30.73%
"2910","2910.도깨비시장",18933,1944,10.27%,3175,16.77%,5075,26.81%
"4091","4091. 방학역2번출구",18884,1936,10.25%,3717,19.68%,4690,24.84%
"530","530. 청계벽산아파트 앞",18882,4727,25.03%,2966,15.71%,4351,23.04%
"266","266. 영등포청과시장 사거리",18875,2204,11.68%,4051,21.46%,4219,22.35%
"111","111. 상수역 2번출구 앞",18851,852,4.52%,3158,16.75%,6324,33.55%
"292","292. 영일 어린이공원",18838,4186,22.22%,2606,13.83%,4484,23.80%
"5151","5151.진넥스베르디엠 앞",18837,2736,14.52%,3110,16.51%,4868,25.84%
"204","204. 국회의사당역 5번출구 옆",18832,2831,15.03%,5537,29.40%,2935,15.59%
"3560","3560.성동구 견인차량 보관소 앞",18829,3126,16.60%,3573,18.98%,4279,22.73%
"4020","4020. 중계동 성모빌딩 앞",18806,1020,5.42%,3615,19.22%,5439,28.92%
"2404","2404. 대모산입구역 4번 출구 앞",18785,3718,19.79%,2951,15.71%,5107,27.19%
"1742","1742. 북한산 코오롱 하늘채",18781,3223,17.16%,2104,11.20%,4757,25.33%
"1966","1966. 한마을아파트 정문상가",18769,4856,25.87%,2172,11.57%,4361,23.24%
"623","623. 서울시립대 정문 앞 B",18738,2064,11.02%,3018,16.11%,4807,25.65%
"166","166. 가재울 초등학교",18732,4966,26.51%,2149,11.47%,5163,27.56%
"2604","2604. 풍납토성 서성벽터A",18673,4345,23.27%,3258,17.45%,4738,25.37%
"1351","1351. 안암2교 옆",18652,2739,14.68%,3385,18.15%,4392,23.55%
"4556","4556. 리버뷰신안인스빌1차 후문",18647,4723,25.33%,4515,24.21%,3113,16.69%
"1824","1824. 독산근린공원 입구",18601,4529,24.35%,2401,12.91%,5168,27.78%
"3013","3013.서울지방고용노동청 앞",18597,1012,5.44%,7483,40.24%,2000,10.75%
"4220","4220. 신촌 청년주택",18583,3996,21.50%,2503,13.47%,5311,28.58%
"417","417. DMC역 2번출구 옆",18562,4516,24.33%,5443,29.32%,2984,16.08%
"2058","2058. 동작경찰서",18562,1429,7.70%,2756,14.85%,6004,32.35%
"214","214. 금융감독원 앞",18556,594,3.20%,8469,45.64%,1484,8.00%
"4024","4024. 꿈의숲 SK뷰 아파트",18531,3458,18.66%,2451,13.23%,4422,23.86%
"4140","4140. 신설동역 4번출구",18496,2482,13.42%,3209,17.35%,4203,22.72%
"3407","3407.안국동사거리(신)",18481,2320,12.55%,3847,20.82%,4937,26.71%
"2658","2658.가락몰 업무동",18476,1782,9.64%,4001,21.66%,3559,19.26%
"4465","4465. 건영아파트앞 사거리",18466,2597,14.06%,3291,17.82%,4491,24.32%
"4418","4418. 종암동 동덕여대 제2생활관 앞",18449,2459,13.33%,2933,15.90%,4632,25.11%
"716","716.신정6동 주민센터 인근",18448,2200,11.93%,3097,16.79%,4704,25.50%
"1450","1450. 화랑대역 7번출구",18444,1718,9.31%,2363,12.81%,4149,22.50%
"2656","2656.풍납동 아이파크 107동 앞",18420,2852,15.48%,4035,21.91%,3677,19.96%
"3860","3860. 건국대학교 정문 앞",18403,2201,11.96%,2999,16.30%,4304,23.39%
"310","310. 청계광장 옆",18389,2745,14.93%,4785,26.02%,3115,16.94%
"4510","4510. 신정네거리역 교차로",18376,2931,15.95%,3114,16.95%,4945,26.91%
"719","719. 홍익병원앞 교차로",18375,3862,21.02%,2634,14.33%,4462,24.28%
"3929","3929. 고척아이파크아파트 205동 앞",18375,6603,35.93%,1962,10.68%,4167,22.68%
"1705","1705. 도봉구청 정문앞",18333,1423,7.76%,3671,20.02%,4005,21.85%
"2901","2901.공릉동풍림아파트 101동",18304,5264,28.76%,1810,9.89%,4775,26.09%
"2067","2067. 보라매역?동작세무서 버스정류장(강남중학교방면)",18277,1964,10.75%,3490,19.10%,5040,27.58%
"1380","1380.월곡역 5번출구 앞",18274,2972,16.26%,3041,16.64%,4588,25.11%
"220","220. 미성아파트 A동 앞",18264,2320,12.70%,5066,27.74%,3586,19.63%
"157","157. 애오개역 4번출구 앞",18244,4423,24.24%,2464,13.51%,4411,24.18%
"4528","4528. 양천구청역 1번출구",18222,3645,20.00%,4620,25.35%,3479,19.09%
"1212","1212. 송파역 2번 출구앞",18188,3002,16.51%,4054,22.29%,3898,21.43%
"1354","1354. 고려대학교 2번출구",18184,2108,11.59%,3844,21.14%,3630,19.96%
"288","288. 쌍용예가(구청별관)",18171,3685,20.28%,3403,18.73%,3944,21.70%
"1030","1030. 미호 플랜트 앞",18118,3250,17.94%,3250,17.94%,4870,26.88%
"1141","1141. 곰달래 문화복지센터 A",18050,3284,18.19%,2861,15.85%,4672,25.88%
"4592","4592. 신길우성4차아파트",18034,3177,17.62%,2646,14.67%,4213,23.36%
"1274","1274. 영파여고 앞",18025,2531,14.04%,2658,14.75%,3739,20.74%
"1830","1830. 빅마켓 금천점 앞",18014,4643,25.77%,4207,23.35%,3394,18.84%
"4522","4522. 신곡시장",18011,1865,10.35%,3079,17.10%,4898,27.19%
"1907","1907. 구일우성(아) 육교 밑",17998,4975,27.64%,2504,13.91%,3963,22.02%
"4567","4567. 한림대학교 강남성심병원 신관",17982,2827,15.72%,2978,16.56%,4634,25.77%
"578","578. 성동세무서 부근",17969,4585,25.52%,4163,23.17%,2685,14.94%
"1530","1530. 광산사거리",17965,1594,8.87%,2698,15.02%,4985,27.75%
"3900","3900. 건국대학교 신공학관",17919,776,4.33%,4850,27.07%,2055,11.47%
"558","558. 성동광진 교육지원청 앞",17914,1784,9.96%,3338,18.63%,4123,23.02%
"3783","3783. 마곡금호어울림아파트",17894,4946,27.64%,2586,14.45%,4571,25.54%
"542","542. 강변역 4번출구 뒤",17891,1113,6.22%,4332,24.21%,5474,30.60%
"201","201. 진미파라곤 앞",17858,1814,10.16%,5164,28.92%,4182,23.42%
"4854","4854. 가락시장역 2번 출구",17842,2624,14.71%,3623,20.31%,4187,23.47%
"2231","2231. 삼성타운(삼성생명) A동 맞은편",17837,1115,6.25%,6750,37.84%,2689,15.08%
"669","669.청계한신휴플러스앞 삼거리",17787,5043,28.35%,2371,13.33%,3798,21.35%
"1738","1738. 창동주공17단지 상가앞",17785,3128,17.59%,3207,18.03%,4463,25.09%
"4491","4491. 장지역 1번출구",17770,2642,14.87%,4532,25.50%,3712,20.89%
"1245","1245. 문정 법조단지9",17754,2632,14.82%,3582,20.18%,5187,29.22%
"2909","2909. 석계역 3번 출구",17736,1969,11.10%,3185,17.96%,5047,28.46%
"3544","3544.한양대역 3번 출구",17733,2480,13.99%,3917,22.09%,3577,20.17%
"1004","1004. 삼성광나루아파트 버스정류장",17732,2330,13.14%,2745,15.48%,5433,30.64%
"1606","1606. 태릉입구역 3번출구",17726,1528,8.62%,2949,16.64%,4838,27.29%
"1305","1305. 성북구청",17718,2363,13.34%,2706,15.27%,4648,26.23%
"3762","3762. 마곡9단지 907동앞",17702,5282,29.84%,2137,12.07%,4184,23.64%
"4080","4080. 창동주공19단지앞",17684,2133,12.06%,3320,18.77%,4395,24.85%
"2332","2332. 선릉역3번출구",17683,2404,13.59%,4466,25.26%,3155,17.84%
"3009","3009. 홍대입구역 사거리",17659,634,3.59%,4313,24.42%,4814,27.26%
"4804","4804. 동서울농협 앞",17638,1049,5.95%,3539,20.06%,4409,25.00%
"571","571. 세종대학교 대양AI센터",17633,2610,14.80%,3180,18.03%,3214,18.23%
"1128","1128. 화곡역 6번출구",17611,2800,15.90%,3311,18.80%,4292,24.37%
"3506","3506. 영동대교 북단",17608,2341,13.30%,3327,18.89%,4401,24.99%
"438","438. 성산2-1 공영주차장",17587,2361,13.42%,2915,16.57%,4978,28.30%
"1385","1385.성신여대입구역 3번출구 앞",17565,1989,11.32%,2456,13.98%,4679,26.64%
"2653","2653.올림픽공원사거리(선수촌아파트)",17564,2251,12.82%,2929,16.68%,5204,29.63%
"4905","4905. 강남경찰서",17542,665,3.79%,6767,38.58%,2946,16.79%
"3415","3415.동대문역6번출구",17512,1827,10.43%,3442,19.66%,4619,26.38%
"4953","4953. 세양청마루아파트 앞",17497,3112,17.79%,2777,15.87%,4299,24.57%
"412","412. DMC산학협력연구센터 앞",17479,2349,13.44%,5358,30.65%,2835,16.22%
"490","490.가온문화공원",17420,884,5.07%,5846,33.56%,3195,18.34%
"4560","4560. 양평동성원아파트",17395,2686,15.44%,4270,24.55%,3347,19.24%
"1928","1928. 고척스카이돔구장 광장",17336,2604,15.02%,2741,15.81%,3864,22.29%
"1199","1199. 우장산역 3번출구",17291,2081,12.04%,2965,17.15%,4395,25.42%
"1804","1804. 독산역 2번출구 자전거주차장",17246,4545,26.35%,4346,25.20%,3114,18.06%
"1827","1827. 독산보도육교 앞 자전거 보관소",17244,2145,12.44%,4191,24.30%,5055,29.31%
"488","488.푸르메병원",17238,3478,20.18%,3226,18.71%,3477,20.17%
"1478","1478.홈플러스 상봉점 앞",17230,1778,10.32%,3311,19.22%,4816,27.95%
"2060","2060. 남성역3번출구 뒤",17220,4144,24.07%,1935,11.24%,4664,27.08%
"1471","1471.동양쇼핑 정류소 앞",17214,3167,18.40%,2245,13.04%,4509,26.19%
"252","252. 보라매역4번출구",17184,2237,13.02%,3448,20.07%,4153,24.17%
"1205","1205. 종합운동장역 4번출구",17176,1835,10.68%,4754,27.68%,4631,26.96%
"3698","3698. 명일역 3번출구 옆",17172,2355,13.71%,3444,20.06%,4384,25.53%
"4207","4207. 아만티호텔 앞",17141,1244,7.26%,3824,22.31%,4380,25.55%
"2414","2414. 도곡역 아카데미스위트 앞",17139,2143,12.50%,4263,24.87%,3365,19.63%
"834","834. 효창공원앞역 3번출구 앞",17130,5375,31.38%,2203,12.86%,3868,22.58%
"680","680.꿈마루어린이도서관 앞",17109,1586,9.27%,2425,14.17%,4663,27.25%
"4121","4121. 서울문화재단 앞",17102,3328,19.46%,4023,23.52%,3150,18.42%
"1841","1841. 가산동 주민센터",17068,6416,37.59%,1863,10.92%,3259,19.09%
"5503","5503. 마포아트센터 앞",17067,3753,21.99%,1880,11.02%,3653,21.40%
"104","104. 합정역 1번출구 앞",17065,1446,8.47%,3826,22.42%,4402,25.80%
"1401","1401. 극동늘푸른아파트",17062,1469,8.61%,2373,13.91%,5366,31.45%
"1681","1681. 현대6차 아파트",17034,2469,14.49%,2566,15.06%,4984,29.26%
"4952","4952.천호시장 버스정류소 옆",17031,3142,18.45%,2112,12.40%,4927,28.93%
"4926","4926. 대치우성아파트 사거리",17025,3047,17.90%,4710,27.67%,3193,18.75%
"418","418. 월드컵경기장역 3번출구 옆",17003,609,3.58%,2630,15.47%,6975,41.02%
"1260","1260. 방이동 한양3차아파트 옆",16971,2520,14.85%,3051,17.98%,4427,26.09%
"1282","1282. 송파소방서 맞은편(성내4교)",16968,3970,23.40%,2345,13.82%,4426,26.08%
"4032","4032. 불암주유소 앞",16964,1657,9.77%,3512,20.70%,4697,27.69%
"1924","1924. 삼부르네상스파크빌",16945,4522,26.69%,3564,21.03%,3200,18.88%
"493","493.홍대입구역 6번출구",16941,1397,8.25%,3399,20.06%,4698,27.73%
"155","155. 가좌역1 번출구 앞",16933,3753,22.16%,3415,20.17%,3976,23.48%
"5154","5154.광진구청 앞",16894,1354,8.01%,3706,21.94%,4327,25.61%
"1108","1108. 공항시장역 2번출구 뒤",16891,3165,18.74%,2272,13.45%,4577,27.10%
"609","609. 제기2교",16879,2816,16.68%,2502,14.82%,4614,27.34%
"521","521. 왕십리역 11번 출구 앞",16857,1148,6.81%,2679,15.89%,4466,26.49%
"178","178. 증산3교 앞",16847,3959,23.50%,2176,12.92%,4471,26.54%
"1931","1931. 개봉역2번출구 A",16824,3495,20.77%,3853,22.90%,3379,20.08%
"1390","1390.석관래미안아트리치",16813,2708,16.11%,2424,14.42%,4698,27.94%
"255","255. 도림사거리",16811,2204,13.11%,2470,14.69%,5124,30.48%
"763","763. 목동11단지 아파트",16773,2946,17.56%,2373,14.15%,4487,26.75%
"1265","1265. 문정동 근린공원",16751,3169,18.92%,2724,16.26%,3790,22.63%
"2202","2202.청계산입구역 1번출구",16748,3535,21.11%,4416,26.37%,3139,18.74%
"2265","2265. 이수고가차도 남단",16746,2081,12.43%,3538,21.13%,4323,25.82%
"1952","1952. 천왕연지타운2단지 앞",16713,3355,20.07%,2527,15.12%,4429,26.50%
"2407","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)",16713,1817,10.87%,3858,23.08%,3324,19.89%
"766","766. 신목동역 3번출구",16691,1606,9.62%,3983,23.86%,4959,29.71%
"2059","2059. 보라매공원 정문",16690,1596,9.56%,4098,24.55%,4118,24.67%
"550","550. 서울시설공단 앞",16677,1529,9.17%,7018,42.08%,1953,11.71%
"4349","4349.삼성화재서초타워",16677,1411,8.46%,3931,23.57%,3481,20.87%
"4812","4812. 묵동 이마트 앞",16676,936,5.61%,3112,18.66%,4603,27.60%
"1204","1204. 거여역 3번출구",16652,1766,10.61%,3168,19.02%,4079,24.50%
"4526","4526. 목동아파트2단지 222동 앞",16637,4895,29.42%,1732,10.41%,4246,25.52%
"1991","1991. 오류동역 맞은편",16632,2177,13.09%,2394,14.39%,4648,27.95%
"1129","1129. 화곡역 1번 출구 앞",16581,1937,11.68%,3361,20.27%,3971,23.95%
"5885","5885. 신정교하부(도림천역 방면)",16563,2926,17.67%,2703,16.32%,4631,27.96%
"145","145. 공덕역 5번출구",16559,2743,16.57%,3355,20.26%,3947,23.84%
"2214","2214. 신반포역 2번출구 앞",16556,1072,6.47%,2633,15.90%,6789,41.01%
"5073","5073. 우장산역 헤링턴타워 앞",16554,1901,11.48%,2669,16.12%,4409,26.63%
"917","917. 녹번역 3번출구",16534,3725,22.53%,3162,19.12%,3429,20.74%
"5514","5514.공덕역 1번출구",16522,1516,9.18%,3574,21.63%,4207,25.46%
"456","456. 숭인2동 주민센터 입구",16478,2855,17.33%,2318,14.07%,3795,23.03%
"650","650. 중랑교사거리",16470,1148,6.97%,2347,14.25%,4998,30.35%
"4480","4480. 가락시장 남1문 사거리",16460,3656,22.21%,3291,19.99%,3054,18.55%
"329","329. 청계2가 사거리 옆",16448,1271,7.73%,4695,28.54%,3803,23.12%
"2252","2252. 잔디마을 마을버스 정류장",16424,923,5.62%,4560,27.76%,3630,22.10%
"4721","4721. 통인시장 정자",16407,4089,24.92%,1933,11.78%,4512,27.50%
"3573","3573.광나루안전체험관",16382,3221,19.66%,2748,16.77%,4116,25.13%
"635","635. 시조사 앞",16379,2757,16.83%,2067,12.62%,3840,23.44%
"5319","5319. 연해피빌 앞",16378,1782,10.88%,2444,14.92%,3084,18.83%
"256","256. 동아에코빌입구",16364,3276,20.02%,2281,13.94%,4246,25.95%
"326","326. 안국역 5번출구 앞",16337,2412,14.76%,3704,22.67%,3384,20.71%
"2627","2627.문정시영아파트 5동 앞 공원",16317,3638,22.30%,2587,15.85%,4038,24.75%
"4386","4386. 현대자동차 동부서비스센터 주변",16305,3885,23.83%,3982,24.42%,2551,15.65%
"4713","4713. 현대 뜨레비앙 아파트 앞",16271,1544,9.49%,3492,21.46%,3273,20.12%
"2725","2725.서울식물원 식물문화센터",16257,1476,9.08%,3153,19.39%,5206,32.02%
"1552","1552. 강북구청사거리",16256,864,5.31%,3605,22.18%,4270,26.27%
"2651","2651.경찰병원역 3번출구 앞",16254,3245,19.96%,2868,17.64%,3623,22.29%
"4468","4468. 가락1동주민센터",16252,4238,26.08%,1952,12.01%,4091,25.17%
"4705","4705. 웰니스센터(민방위교육장 앞)",16247,3581,22.04%,2421,14.90%,3196,19.67%
"2342","2342. 대청역 1번출구  뒤",16219,2111,13.02%,3553,21.91%,4062,25.04%
"2279","2279. 교대역 5번출구뒤",16206,2495,15.40%,3134,19.34%,3302,20.38%
"427","427. 성산시영아파트",16200,3232,19.95%,2092,12.91%,4319,26.66%
"3691","3691. 둔촌역 2번출구",16198,1529,9.44%,4045,24.97%,3969,24.50%
"5774","5774. 가락본동주민센터 인근",16164,2103,13.01%,3050,18.87%,3566,22.06%
"3853","3853. 어린이대공원역 2번출구",16142,4234,26.23%,2677,16.58%,3303,20.46%
"1267","1267. 올림픽공원 남2문 앞",16131,2474,15.34%,2582,16.01%,5269,32.66%
"1404","1404. 동일로 지하차도",16120,3011,18.68%,2069,12.83%,3128,19.40%
"4619","4619. 한강트럼프월드3차 앞",16108,2060,12.79%,2718,16.87%,4886,30.33%
"4453","4453. 위례중앙푸르지오 201동 앞",16093,1705,10.59%,2226,13.83%,4778,29.69%
"3206","3206.문래동 주민센터",16089,2054,12.77%,4209,26.16%,2973,18.48%
"1433","1433. 중화역 2번출구",16078,1110,6.90%,2777,17.27%,4127,25.67%
"525","525. 한양대병원사거리",16075,862,5.36%,2690,16.73%,4865,30.26%
"270","270. 증권거래소후문교차로",16066,1638,10.20%,5402,33.62%,2517,15.67%
"2294","2294. 두상빌딩 앞",16049,3918,24.41%,3225,20.09%,3059,19.06%
"2211","2211. 서초구립반포도서관 앞",16040,1709,10.65%,3707,23.11%,4057,25.29%
"4794","4794. 서울역 서부교차로(3)",16040,4642,28.94%,2588,16.13%,3456,21.55%
"1206","1206. 9호선종합운동장역 9번출구",16023,2482,15.49%,3700,23.09%,3741,23.35%
"107","107. 수협 연남동지점",16013,1509,9.42%,3682,22.99%,3812,23.81%
"1334","1334. 석관동주민센터 앞",16012,1915,11.96%,2585,16.14%,3516,21.96%
"860","860.LG한강 자이아파트 앞",15992,1794,11.22%,2685,16.79%,5520,34.52%
"380","380. CJ제일제당 앞",15989,2408,15.06%,3713,23.22%,2614,16.35%
"345","345. 서울보증보험본사 앞",15988,3111,19.46%,4119,25.76%,1980,12.38%
"1920","1920. 서울미래초등학교 사거리",15960,2890,18.11%,2347,14.71%,3938,24.67%
"4483","4483. 잠실나들목4",15943,2338,14.66%,2007,12.59%,5570,34.94%
"4019","4019. 상계주공10단지 버스정류소",15921,2244,14.09%,2522,15.84%,4153,26.09%
"2110","2110. 조원동 미성아파트",15916,1894,11.90%,3109,19.53%,4069,25.57%
"4393","4393. 상원삼거리 장안철교 아래",15911,1595,10.02%,5499,34.56%,2811,17.67%
"3128","3128.동신병원 맞은편",15903,1549,9.74%,2557,16.08%,4960,31.19%
"5323","5323. 하계역 4번출구 앞",15899,2014,12.67%,2939,18.49%,3816,24.00%
"1987","1987. 개봉아이파크아파트 앞",15885,4713,29.67%,1688,10.63%,4476,28.18%
"4708","4708. 조계사앞사거리",15870,1950,12.29%,3599,22.68%,2411,15.19%
"5097","5097. LG사이언스파크 E2동",15860,636,4.01%,8720,54.98%,717,4.52%
"3414","3414.종로5가역 4번출구",15845,2547,16.07%,3197,20.18%,3488,22.01%
"4792","4792. 퇴계로4가 교차로(중구청)",15841,1917,12.10%,2926,18.47%,3311,20.90%
"4270","4270. 우국한마음 아파트 맞은편",15839,2279,14.39%,3063,19.34%,3632,22.93%
"758","758. 한사랑교회 앞",15815,3391,21.44%,2100,13.28%,4483,28.35%
"475","475.DDP 패션몰",15807,885,5.60%,2321,14.68%,2289,14.48%
"2737","2737.까치산역 3번 출구",15786,1650,10.45%,2706,17.14%,4281,27.12%
"5088","5088. 등촌역 센터스퀘어",15786,1406,8.91%,2750,17.42%,4175,26.45%
"1306","1306. 한성대입구역2번출구",15770,1259,7.98%,2569,16.29%,4686,29.71%
"4004","4004. 당고개입구오거리 당현천변",15763,1732,10.99%,2425,15.38%,4283,27.17%
"3203","3203.도림동배드민턴체육관",15762,3970,25.19%,1960,12.43%,3616,22.94%
"2605","2605. 복정역 1번 출구 앞",15742,1713,10.88%,5456,34.66%,2787,17.70%
"6171","6171. 월드빌딩 앞",15730,1502,9.55%,2753,17.50%,4236,26.93%
"989","989. 신응교(가좌로) 앞",15728,1931,12.28%,2369,15.06%,4829,30.70%
"2115","2115. 관악구시설관리공단",15727,3903,24.82%,2081,13.23%,3861,24.55%
"2710","2710.라이품 공영주차장 앞",15719,3516,22.37%,2573,16.37%,3735,23.76%
"4657","4657. 본 서부병원 교차로 사거리",15719,2325,14.79%,2888,18.37%,4105,26.11%
"1288","1288. 문정중교 사거리",15705,2045,13.02%,2593,16.51%,4071,25.92%
"605","605. 신설동역8번출구",15643,2023,12.93%,3033,19.39%,3873,24.76%
"1670","1670. 노원경찰서교차로",15622,3195,20.45%,1871,11.98%,3122,19.98%
"420","420. 서울시 공공자전거 상암센터",15596,563,3.61%,2221,14.24%,7732,49.58%
"355","355. 서울사대부설초등학교 앞",15595,2216,14.21%,3264,20.93%,3099,19.87%
"4317","4317. 양재근린공원",15586,2962,19.00%,2773,17.79%,3492,22.40%
"557","557. 도선동 주민센터 앞",15573,2922,18.76%,3185,20.45%,3333,21.40%
"3907","3907. 신도림7차e편한세상아파트 806동 앞",15572,3328,21.37%,1851,11.89%,3914,25.13%
"1003","1003. 해공도서관앞",15571,2519,16.18%,2440,15.67%,4254,27.32%
"1677","1677. 육군사관학교  앞",15567,1911,12.28%,3097,19.89%,4305,27.65%
"2431","2431.대치역 7번출구",15567,2133,13.70%,2594,16.66%,4596,29.52%
"3788","3788. 정곡나들목",15558,652,4.19%,1900,12.21%,6735,43.29%
"2537","2537.양재역 8번출구 앞",15542,2113,13.60%,4321,27.80%,3454,22.22%
"3550","3550.금호나들목",15531,2116,13.62%,2299,14.80%,5641,36.32%
"1929","1929. 고척근린공원 고척도서관 앞",15522,1806,11.64%,2210,14.24%,4120,26.54%
"5326","5326. 대진고교앞 교차로",15515,1792,11.55%,2312,14.90%,4252,27.41%
"1074","1074.대명초교입구 사거리",15505,2939,18.96%,1793,11.56%,4277,27.58%
"6060","6060. 신한은행 본점",15501,1756,11.33%,4867,31.40%,2083,13.44%
"4222","4222. 서울디자인고등학교 앞",15492,1927,12.44%,2776,17.92%,3979,25.68%
"4381","4381. 더스페이스타워 앞",15486,1435,9.27%,4177,26.97%,3589,23.18%
"2054","2054. 삼익아파트",15481,3387,21.88%,1559,10.07%,4202,27.14%
"4089","4089. 동부센트레빌 앞",15453,3039,19.67%,2073,13.41%,3999,25.88%
"2904","2904.중계3차청구아파트",15449,1082,7.00%,2304,14.91%,3958,25.62%
"1440","1440. 면목2동 사거리",15430,2118,13.73%,2692,17.45%,4169,27.02%
"1529","1529. 미아동 한국전력공사",15419,1434,9.30%,3005,19.49%,3807,24.69%
"320","320. 을지로입구역 4번출구 앞",15406,2166,14.06%,3684,23.91%,2298,14.92%
"2821","2821.청구아파트 앞",15370,3648,23.73%,2243,14.59%,3442,22.39%
"3879","3879. 중랑천 뚝방길 산책로 입구",15341,3665,23.89%,2326,15.16%,4018,26.19%
"2902","2902.공릉풍림아파트 108동",15335,5016,32.71%,1598,10.42%,3452,22.51%
"4092","4092. 도봉경찰서 교차로",15333,2048,13.36%,2211,14.42%,3514,22.92%
"2066","2066. 양문교회 앞",15323,2451,16.00%,2075,13.54%,4167,27.19%
"4601","4601.양평역2번출구 뒤",15303,3317,21.68%,3253,21.26%,3453,22.56%
"819","819. 선린인터넷 고등학교",15300,2618,17.11%,2152,14.07%,4368,28.55%
"4076","4076. 도봉통합복지센터 뒤 중랑천 변",15300,1309,8.56%,2178,14.24%,4604,30.09%
"215","215. 여의도고교 앞",15292,2965,19.39%,2646,17.30%,3924,25.66%
"334","334. 종로3가역 2번출구 뒤",15289,1744,11.41%,3164,20.69%,3296,21.56%
"3899","3899. 아차산역 2번출구",15288,2170,14.19%,2387,15.61%,4702,30.76%
"4181","4181. 보라매공원역 2번출구",15266,2054,13.45%,2734,17.91%,4408,28.87%
"700","700. KB국민은행 염창역 지점 앞",15263,1766,11.57%,2786,18.25%,4060,26.60%
"838","838. 숙대입구역 4번출구",15260,1784,11.69%,2718,17.81%,3913,25.64%
"5075","5075. 등촌역 1번출구",15228,2099,13.78%,2573,16.90%,3853,25.30%
"289","289. 대림3동사거리",15207,2685,17.66%,2470,16.24%,3568,23.46%
"455","455. 종로6가역 버스정류장(동대문 방향)",15205,1721,11.32%,2740,18.02%,1651,10.86%
"4711","4711. 올림픽기념 국민생활관 로터리",15196,3668,24.14%,1809,11.90%,3395,22.34%
"4512","4512. 목동13_14단지 사거리",15186,2398,15.79%,2610,17.19%,3560,23.44%
"2056","2056. 동작구민 체육센터",15180,3564,23.48%,2394,15.77%,2866,18.88%
"239","239. 유스호스텔 앞",15134,2838,18.75%,3574,23.62%,2647,17.49%
"4167","4167. 구로교 아래",15102,1133,7.50%,2913,19.29%,4217,27.92%
"915","915. 증산역 4번출구",15088,2002,13.27%,2452,16.25%,3984,26.41%
"3984","3984. 가산롯데아이티캐슬",15048,1145,7.61%,7415,49.28%,1702,11.31%
"3935","3935. 고대구로병원 앞",15043,1787,11.88%,3519,23.39%,2816,18.72%
"1707","1707. 도봉구민회관",15037,1769,11.76%,2036,13.54%,3497,23.26%
"3432","3432.종로2가 사거리",15035,1346,8.95%,3117,20.73%,3061,20.36%
"4464","4464. 올림픽공원 북2문 A",15033,1343,8.93%,2885,19.19%,4763,31.68%
"1685","1685. 불암고등학교 앞 횡단보도",15028,2430,16.17%,2322,15.45%,3923,26.10%
"2911","2911.상계역중앙시장",15019,1195,7.96%,2769,18.44%,4316,28.74%
"1640","1640. 한내근린공원 북측",15016,1726,11.49%,2160,14.38%,4757,31.68%
"1767","1767.방학초등학교 앞",15011,2947,19.63%,1898,12.64%,3632,24.20%
"108","108. 서교동 사거리",14995,367,2.45%,3233,21.56%,4796,31.98%
"1119","1119. 염창동 한마음아파트 앞",14981,2403,16.04%,2347,15.67%,4241,28.31%
"4143","4143.서울동물복지지원센터 동대문",14981,949,6.33%,3410,22.76%,3525,23.53%
"4536","4536. 양천해누리체육공원",14957,1474,9.85%,1482,9.91%,1957,13.08%
"6054","6054.청구e편한세상아파트 113동 앞",14956,2875,19.22%,2198,14.70%,3565,23.84%
"5893","5893.한국산업은행",14952,592,3.96%,7852,52.51%,1331,8.90%
"3125","3125.연희파크푸르지오아파트 앞",14950,3257,21.79%,2141,14.32%,4287,28.68%
"818","818. 숙명여대 입구 교차로",14942,2688,17.99%,1886,12.62%,3819,25.56%
"411","411. DMC홍보관",14938,934,6.25%,5451,36.49%,2268,15.18%
"3121","3121.가좌삼거리",14899,1712,11.49%,2734,18.35%,4067,27.30%
"3928","3928.고척아이파크아파트 106동 앞",14899,2033,13.65%,2569,17.24%,4446,29.84%
"339","339. 종로4가 사거리",14887,1061,7.13%,3193,21.45%,2730,18.34%
"4238","4238. 상암한샘빌딩앞",14883,4076,27.39%,2733,18.36%,2468,16.58%
"1227","1227. 거여역 8번출구 뒤",14850,3251,21.89%,3210,21.62%,2960,19.93%
"1175","1175. 대한항공 인력개발센터",14828,2496,16.83%,2690,18.14%,3226,21.76%
"4965","4965.고덕비즈밸리 쿠쿠강동빌딩",14827,240,1.62%,4430,29.88%,4901,33.05%
"4028","4028. 한일유앤아이아파트 105동 인근",14815,2192,14.80%,2138,14.43%,4330,29.23%
"336","336. 충무로역 6번출구 앞",14806,2669,18.03%,2944,19.88%,2593,17.51%
"2645","2645.잠실나들목2(엘스아파트136동)",14794,2224,15.03%,1980,13.38%,4917,33.24%
"3814","3814. 난곡사거리",14791,1237,8.36%,2205,14.91%,3909,26.43%
"426","426. 서울신용보증재단",14777,2256,15.27%,3417,23.12%,3091,20.92%
"335","335. 종로3가역 15번출구 뒤",14765,1738,11.77%,3359,22.75%,2860,19.37%
"3763","3763. 등촌태영아파트",14743,3034,20.58%,3271,22.19%,3319,22.51%
"513","513. 뚝섬역 5번 출구 정류소 옆",14739,1904,12.92%,3790,25.71%,2567,17.42%
