대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"3010","3010.홍대입구역 3번출구",38015,4638,12.20%,8159,21.46%,10178,26.77%
"3509","3509. 세종사이버대학교",37980,8436,22.21%,5868,15.45%,8573,22.57%
"3784","3784. 벽산아파트",37956,9304,24.51%,5190,13.67%,10081,26.56%
"275","275. 신동아아파트",37953,7065,18.62%,6768,17.83%,8786,23.15%
"102","102. 망원역 1번출구 앞",37930,4114,10.85%,6742,17.77%,10634,28.04%
"1297","1297. 석촌호수교차로(동호 팔각정 앞)",37867,4468,11.80%,6265,16.54%,11580,30.58%
"1008","1008. 암사역 3번출구(국민은행앞)",37812,5471,14.47%,6171,16.32%,10141,26.82%
"1231","1231. 잠실역 6번출구",37792,3130,8.28%,9340,24.71%,10498,27.78%
"3772","3772. 길성그랑프리텔아파트",37772,7985,21.14%,6469,17.13%,9202,24.36%
"1674","1674. 서울북부고용센터앞",37530,2787,7.43%,7993,21.30%,8190,21.82%
"794","794.양천문화회관",37435,6755,18.04%,5365,14.33%,10238,27.35%
"565","565. 옥수역 3번출구",37283,3520,9.44%,7710,20.68%,11514,30.88%
"4868","4868. 석촌호수 서호 남단",37250,8106,21.76%,6792,18.23%,8527,22.89%
"931","931. 역촌파출소",37199,8359,22.47%,5317,14.29%,9052,24.33%
"780","780.신정교 하부",37098,4926,13.28%,4942,13.32%,12905,34.79%
"259","259. 대방역6번출구",36877,12647,34.30%,4908,13.31%,7783,21.11%
"755","755. 목동1단지아파트 상가 앞",36836,3820,10.37%,6916,18.78%,9945,27.00%
"1668","1668. 중계역 6번출구",36659,4240,11.57%,7800,21.28%,9505,25.93%
"2704","2704.홈플러스(강서점)",36599,6843,18.70%,7171,19.59%,7354,20.09%
"1103","1103. 방화역 4번출구앞",36427,5298,14.54%,6145,16.87%,9211,25.29%
"1192","1192. 마곡수명산파크 209동 건너편",36331,10577,29.11%,4596,12.65%,8223,22.63%
"734","734. 신트리공원 입구",36220,8924,24.64%,5418,14.96%,9127,25.20%
"670","670.삼육서울병원 버스정류장",36218,3201,8.84%,6615,18.26%,9352,25.82%
"2708","2708.강서한강자이타워 앞",36216,3932,10.86%,9881,27.28%,7444,20.55%
"419","419. 홈플러스 마포점 앞",36010,1831,5.08%,7013,19.48%,12180,33.82%
"1611","1611. 과기대 입구(우)",35973,2629,7.31%,6671,18.54%,8795,24.45%
"602","602. 장안동 사거리",35880,3393,9.46%,6241,17.39%,9385,26.16%
"2641","2641.송파역 4번출구",35803,3903,10.90%,6934,19.37%,9232,25.79%
"232","232. 양평우림 이비즈센타 앞",35725,6635,18.57%,8978,25.13%,6953,19.46%
"361","361. 동묘앞역 1번출구 뒤",35677,4772,13.38%,5362,15.03%,9090,25.48%
"4535","4535. 목동12단지 아파트",35650,8333,23.37%,4934,13.84%,10134,28.43%
"3789","3789. 염창나들목",35579,6987,19.64%,4323,12.15%,11605,32.62%
"1908","1908. 해원리바파크 육교 밑",35460,8933,25.19%,6834,19.27%,8707,24.55%
"5095","5095. 원당근린공원",35410,5201,14.69%,6329,17.87%,9585,27.07%
"147","147. 마포역 4번출구 뒤",35286,4198,11.90%,8451,23.95%,9561,27.10%
"3600","3600.사근빗물펌프장 건너편",35283,3731,10.57%,5869,16.63%,9886,28.02%
"1113","1113. 서남환경공원 버스정류장",35265,9048,25.66%,4635,13.14%,8900,25.24%
"5333","5333. 노원역9번-10번 출구 앞",35229,1787,5.07%,8044,22.83%,9586,27.21%
"290","290. 새말소공원",35200,8414,23.90%,5656,16.07%,7016,19.93%
"2002","2002. 노들역 1번출구",35169,3801,10.81%,5524,15.71%,12506,35.56%
"2176","2176. 보라매공원 보도육교",35163,6099,17.34%,4834,13.75%,10261,29.18%
"1232","1232. 잠실주공 521동 건너편",35111,2186,6.23%,7841,22.33%,10875,30.97%
"2377","2377. 수서역 5번출구",35048,3918,11.18%,9503,27.11%,8271,23.60%
"4553","4553. 당산삼성2차아파트",35013,8118,23.19%,5691,16.25%,7859,22.45%
"383","383. 신당역 12번 출구 뒤",34955,3693,10.57%,5451,15.59%,8438,24.14%
"2744","2744.강서세무서 앞",34944,8443,24.16%,5579,15.97%,7489,21.43%
"6058","6058. 시청역 2번출구",34914,9096,26.05%,8584,24.59%,5161,14.78%
"1150","1150. 송정역 1번출구",34775,5832,16.77%,6910,19.87%,7868,22.63%
"283","283. 아크로타워 스퀘어(영등포시장)",34651,8580,24.76%,4713,13.60%,8239,23.78%
"2707","2707.한강아파트",34342,8602,25.05%,4545,13.23%,8160,23.76%
"3664","3664. 맥도날드 서울둔촌DT점 앞",34342,4621,13.46%,5811,16.92%,8895,25.90%
"1012","1012. 천호역효성해링턴타워 앞",34325,3775,11.00%,6419,18.70%,8662,25.24%
"5883","5883. 영문초사거리",34310,4293,12.51%,6942,20.23%,8427,24.56%
"1180","1180. 마곡엠밸리 15단지(1502동) 건너편",34233,6032,17.62%,6864,20.05%,6853,20.02%
"1251","1251. 석촌역 2번출구",34142,3435,10.06%,6368,18.65%,9909,29.02%
"278","278. 쌍용플레티넘오피스텔",34114,4717,13.83%,5218,15.30%,9860,28.90%
"117","117. 홍은사거리",34067,3960,11.62%,6545,19.21%,9860,28.94%
"648","648. 장안동위더스빌옆",33994,7870,23.15%,5309,15.62%,7853,23.10%
"1946","1946. 구로역 광장",33888,6815,20.11%,8994,26.54%,6033,17.80%
"5887","5887.나루마을 마당공원",33887,9848,29.06%,5015,14.80%,8213,24.24%
"2637","2637. 아시아지하보도 14번 출구",33792,2774,8.21%,6724,19.90%,9491,28.09%
"6177","6177. 마곡롯데캐슬르웨스트",33687,7423,22.04%,5830,17.31%,7150,21.22%
"1914","1914. 대림역4번출구",33618,6140,18.26%,6989,20.79%,7405,22.03%
"1308","1308. 안암로터리 버스정류장 앞",33562,1404,4.18%,7339,21.87%,8313,24.77%
"296","296.KT플라자 영등포점",33379,6709,20.10%,5403,16.19%,8172,24.48%
