대여소번호,대여소명,표준화_건수4열_클러스터,표준화_혼합4열_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%)
"3204","3204.도림고가도로 밑",Group 2,Group 2,13220,2569,2019,3369,15.27%,25.48%
"2369","2369. KT선릉타워",Group 2,Group 1,13217,1444,3461,2215,26.19%,16.76%
"2504","2504. 신사역 4번출구 뒤",Group 2,Group 2,13208,698,3306,3459,25.03%,26.19%
"5896","5896.영등포구청역 6번출구",Group 2,Group 2,13206,2280,2757,2799,20.88%,21.19%
"4145","4145.청량리동 주민센터",Group 2,Group 2,13184,1245,2441,3225,18.51%,24.46%
"4102","4102. 휘경1동주민센터 앞",Group 2,Group 2,13175,2302,2139,3590,16.24%,27.25%
"233","233. 양평1동 YP센터 앞",Group 2,Group 1,13122,1356,4464,2147,34.02%,16.36%
"1729","1729. 도봉한신아파트 버스정류장",Group 2,Group 2,13121,1273,1994,3837,15.20%,29.24%
"359","359. 원남동사거리",Group 2,Group 2,13118,1200,2840,2743,21.65%,20.91%
"1814","1814. 두산위브아파트 옆 상가건물 앞",Group 2,Group 4,13116,3963,1631,2941,12.44%,22.42%
"1318","1318. 길음역 3번출구 뒤",Group 2,Group 2,13093,1235,2513,3422,19.19%,26.14%
"4077","4077. 도봉제1교",Group 2,Group 2,13076,1145,1747,4748,13.36%,36.31%
"150","150. 서강대역 2번출구 앞",Group 2,Group 2,13064,1937,2064,3555,15.80%,27.21%
"1277","1277. 성내7교",Group 2,Group 2,13060,2672,1594,3201,12.21%,24.51%
"143","143. 공덕역 2번출구",Group 2,Group 1,13057,2008,3289,2846,25.19%,21.80%
"3220","3220.래미안에스티움 앞 (신풍로)",Group 2,Group 2,13054,2714,1751,3372,13.41%,25.83%
"3873","3873. 동서울우편집중국 앞",Group 2,Group 2,13036,1643,2292,2885,17.58%,22.13%
"4011","4011. 월계 센트럴 아이파크",Group 2,Group 2,13009,938,2363,3108,18.16%,23.89%
"3102","3102. 연희삼거리",Group 2,Group 2,12997,2250,1705,3769,13.12%,29.00%
"3641","3641. 대청역",Group 2,Group 1,12978,2162,3561,2620,27.44%,20.19%
"674","674.고대앞사거리 교통섬",Group 2,Group 2,12977,1051,2464,2997,18.99%,23.09%
"908","908. 구산역 4번출구",Group 2,Group 2,12977,1551,2077,3843,16.01%,29.61%
"2703","2703.서울도시가스 앞",Group 2,Group 2,12969,1531,2570,3512,19.82%,27.08%
"2408","2408. 강남한양수자인아파트",Group 2,Group 2,12957,2761,1822,3343,14.06%,25.80%
"1444","1444. 면목4치안센터",Group 2,Group 2,12937,2873,1511,3385,11.68%,26.17%
"3411","3411.종묘",Group 2,Group 2,12914,1838,2441,2166,18.90%,16.77%
"1805","1805. 서울디지털운동장 앞",Group 2,Group 1,12908,2684,3609,1889,27.96%,14.63%
"241","241. 신길우성1차아파트 앞 공원",Group 2,Group 4,12907,3505,1268,3127,9.82%,24.23%
"1375","1375. 생명의 전화 종합복지관 앞 교차로",Group 2,Group 4,12903,3092,2008,2676,15.56%,20.74%
"2917","2917.신창중학교 후문 맞은편 버스정류장",Group 2,Group 2,12902,1837,1435,3428,11.12%,26.57%
"389","389. 을지로4가역 1번출구",Group 2,Group 1,12895,2506,3019,2218,23.41%,17.20%
"1809","1809. LG전자 별관동(호서대 벤처타워 맞은편)",Group 2,Group 1,12884,1194,5867,1085,45.54%,8.42%
"2303","2303. 논현역 10번출구",Group 2,Group 2,12864,1860,2918,2902,22.68%,22.56%
"1271","1271. 송파도서관",Group 2,Group 2,12839,908,2468,3740,19.22%,29.13%
"3818","3818. 은천교회 앞",Group 2,Group 2,12836,3050,1541,3590,12.01%,27.97%
"958","958. 본 서부병원 버스정류장(은평 세무서 방면)",Group 2,Group 2,12835,1925,1926,3258,15.01%,25.38%
"5760","5760. 풍납사거리 성내유수지",Group 2,Group 2,12833,1426,2687,3499,20.94%,27.27%
