대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"2648","2648.헬리오시티 112동 앞",Group 1,14219,2663,13.81%,30.00%
"340","340. 혜화동 로터리",Group 1,14217,2041,16.40%,25.40%
"3684","3684. 고덕자이(105동 앞)",Group 1,14207,2622,11.77%,27.47%
"1749","1749. ESA아파트 상가 앞",Group 1,14198,1102,14.31%,28.07%
"4819","4819. 면목동 새싹어린이공원 앞",Group 1,14193,3058,12.27%,26.37%
"327","327. 낙원상가 옆",Group 1,14190,2047,19.98%,22.46%
"2711","2711.가로공원공영주차장 1번 출구",Group 1,14186,2835,11.88%,26.52%
"3699","3699. 상일파출소 옆",Group 1,14185,2309,18.98%,22.79%
"815","815. LIG강촌아파트 103동앞",Group 1,14162,1614,16.90%,30.58%
"711","711. 신일해피트리아파트 앞",Group 1,14135,3494,13.91%,23.32%
"343","343. 힐스테이트창경궁 아파트 앞",Group 1,14130,2464,21.15%,20.24%
"2244","2244. 말죽거리공원 사거리",Group 1,14130,1133,23.09%,26.69%
"1960","1960. 구로거리공원 동측(신도림역 방면)",Group 1,14123,3305,14.83%,24.78%
"5338","5338. 상계초교 입구 교차로",Group 1,14117,902,17.40%,26.76%
"4397","4397. 마장축산물시장 북문 건너편",Group 1,14107,1340,22.61%,27.62%
"3651","3651. 개포동역 4번출구",Group 1,14101,1756,14.94%,31.59%
"949","949. 연신내역 1번 출구",Group 1,14092,1336,19.72%,26.67%
"2539","2539.대한무역투자진흥공사 KOTRA 앞",Group 1,14084,685,46.21%,6.25%
"3120","3120.DMC엘가아파트 앞",Group 1,14082,2204,17.01%,24.88%
"6184","6184. 한강버스 마곡 선착장",Group 1,14081,569,16.14%,40.13%
"1726","1726. 삼익세라믹아파트교차로",Group 1,14062,2128,14.05%,28.00%
"1233","1233. 잠실3거리(갤러리아팰리스)",Group 1,14047,1605,17.01%,26.74%
"4114","4114. 휘경여중고삼거리",Group 1,14041,1949,16.38%,24.56%
"1428","1428. 원묵고등학교",Group 1,14037,1732,14.83%,26.63%
"4652","4652. 신사두산위브2차아파트 앞",Group 1,14029,3732,9.97%,23.31%
"4169","4169. 신대방삼거리",Group 1,14026,1601,12.21%,28.45%
"4917","4917. 일원에코파크 주차장",Group 1,14017,3630,15.90%,22.29%
"400","400. 상암한화오벨리스크 1차 앞",Group 1,14015,4627,11.61%,22.80%
"2013","2013. 장승배기역 5번출구",Group 1,14007,1832,16.48%,27.33%
"4083","4083.도봉아이나라도서관 앞",Group 1,13999,2802,11.87%,22.81%
"1770","1770.도봉한신아파트 주변",Group 1,13996,1577,14.72%,19.68%
"2530","2530.삼호3차아파트 앞",Group 1,13993,1784,19.38%,27.22%
"722","722. 경서농협 버스정류장(우리은행신정동지점방향)",Group 1,13991,2668,15.73%,27.64%
"4347","4347. 논현지하보도",Group 1,13986,2904,16.92%,22.55%
"4210","4210. 가좌행복주택 앞",Group 1,13982,3315,14.30%,26.42%
"4214","4214. JTBC 앞",Group 1,13981,981,31.53%,15.23%
"2108","2108. 은천치안센터",Group 1,13973,2165,15.14%,27.60%
"3863","3863. 동일로58길 입구",Group 1,13968,3624,16.72%,23.42%
"1974","1974. 신도림2차e편한세상아파트 203동 앞",Group 1,13961,2639,14.80%,25.59%
"3931","3931. 천왕역 3번 출구 뒤",Group 1,13955,2165,25.12%,18.45%
"5325","5325.상계주공7단지 아파트 앞",Group 1,13955,1292,15.16%,27.44%
"3502","3502. 중곡역 1번출구",Group 1,13943,1830,18.93%,23.62%
"281","281. 대림신동아아파트 앞",Group 1,13941,1734,15.71%,27.66%
"1848","1848. 벽산 디지털밸리 5차",Group 1,13908,790,55.57%,8.90%
"223","223. 진주아파트상가 앞",Group 1,13903,2098,18.35%,22.61%
"1630","1630. 수연빌딩 앞",Group 1,13884,1084,18.07%,29.29%
"849","849. 삼각지 자이아파트",Group 1,13871,2720,14.45%,29.58%
"4589","4589. KRX한국거래소(1)",Group 1,13861,1626,27.22%,17.74%
"1664","1664. 노해근린공원내",Group 1,13839,2189,12.84%,29.43%
"2327","2327. 뱅뱅사거리 랜드마크타워 앞",Group 1,13825,1442,29.95%,15.93%
"4113","4113. 한국국방연구원 앞",Group 1,13819,1542,22.97%,22.93%
"4719","4719. 종로문화원 건너편",Group 1,13816,1160,25.57%,18.17%
"1605","1605. 헬스케어",Group 1,13795,1507,19.60%,24.84%
"4517","4517. 성보하이드로빌딩",Group 1,13780,2403,11.87%,28.58%
"1382","1382.래미안월곡아파트 입구",Group 1,13776,3492,11.51%,24.46%
"4707","4707. 청계3가 사거리",Group 1,13775,2255,17.47%,25.44%
"5513","5513. 마포음식문화거리",Group 1,13759,2110,16.03%,29.25%
"1470","1470.중화동 우리은행 앞",Group 1,13737,2006,17.26%,26.34%
"1229","1229. 송파체육문화회관 앞",Group 1,13731,2667,16.72%,15.59%
"165","165. 중앙근린공원",Group 1,13716,3679,12.20%,26.98%
"4569","4569. 힐스테이트클래시안아파트",Group 1,13707,3138,12.19%,25.08%
"1384","1384.성신여대입구역 5번출구",Group 1,13700,2424,13.41%,26.67%
"3528","3528. 광진정보도서관",Group 1,13699,523,20.88%,36.75%
"2423","2423.영희초교 사거리(래미안개포루체하임)",Group 1,13690,1863,13.51%,28.77%
"5155","5155.광진경찰서 앞",Group 1,13690,3382,13.92%,24.86%
"3119","3119.연희 브라운스톤 아파트 앞",Group 1,13689,2256,15.50%,29.21%
"3775","3775. 가양오토갤러리",Group 1,13689,2560,23.30%,18.80%
"777","777.신월6차보람아파트 앞",Group 1,13688,3485,12.47%,24.36%
"1456","1456. 상아빌딩(우림시장 교차로)",Group 1,13668,1735,13.05%,26.60%
"2080","2080. 대방지하보도(대방동경남아너스빌아파트)",Group 1,13656,1949,21.59%,24.07%
"3983","3983. 금천구청역 1번 출구",Group 1,13649,2264,29.99%,18.27%
"1741","1741. 제일강산수산입구",Group 1,13641,1304,15.27%,27.89%
"1148","1148. 볏골공원",Group 1,13638,4078,11.70%,24.80%
"2333","2333. 양재역 3번출구 주변",Group 1,13629,1877,26.16%,20.46%
"2171","2171. 서울대입구역 5번출구",Group 1,13601,1027,19.84%,27.34%
"2247","2247.섬들근린공원",Group 1,13587,2778,14.85%,25.59%
"1651","1651. 상계동 우방유쉘아파트 앞",Group 1,13585,1878,14.27%,27.48%
"4677","4677. 백련산 SK뷰 아이파크 해모로 아파트 앞",Group 1,13579,4023,10.52%,24.52%
"985","985. 은평세무서 버스정류장(은평구청 방면)",Group 1,13562,2079,16.21%,23.52%
"1110","1110. 공항중학교앞",Group 1,13531,4120,9.33%,22.02%
"2542","2542.신논현타워 앞",Group 1,13520,1657,22.37%,24.02%
"1846","1846. 롯데캐슬골드파크1차 동문",Group 1,13507,6123,8.01%,19.58%
"3131","3131.연가교 교차로",Group 1,13506,4017,10.77%,27.35%
"5317","5317. 공릉동 신도1차 아파트 뒤",Group 1,13503,2125,14.57%,25.65%
"826","826. 서울역 서부교차로2",Group 1,13492,3517,14.78%,23.72%
"6061","6061.충무아트센터",Group 1,13472,1600,15.00%,20.66%
"5309","5309. 월계 롯데캐슬아파트 뒤",Group 1,13461,2791,11.86%,26.68%
"916","916. 평생학습관 앞",Group 1,13460,1430,15.99%,27.89%
"331","331. 을지로2가 사거리 북측",Group 1,13430,1472,35.99%,10.07%
"5869","5869. 영등포아트홀 앞",Group 1,13429,1522,19.43%,21.72%
"3793","3793. 더리브골드타워",Group 1,13428,2693,30.18%,15.50%
"374","374. 신당동주민센터앞",Group 1,13417,1449,21.46%,22.73%
"1203","1203. 밀리아나2빌딩 앞",Group 1,13404,915,24.65%,19.71%
"4588","4588.양남사거리2",Group 1,13399,1652,30.53%,18.61%
"706","706. 신정네거리역",Group 1,13386,1784,22.16%,24.21%
"4425","4425. 하늘채코오롱아파트 앞",Group 1,13364,1770,13.54%,30.75%
"1327","1327. 상월곡역 3번출구",Group 1,13352,2001,18.74%,24.96%
"5078","5078. 왈도강서캠퍼스 앞",Group 1,13311,3177,13.87%,24.20%
"2086","2086.삼일수영장 앞",Group 1,13302,3896,8.25%,23.21%
"454","454. 종로2가 버스정류장 (종각방향)",Group 1,13297,1337,20.95%,21.87%
"1520","1520. 수유중앙시장",Group 1,13286,1410,12.90%,27.98%
"457","457. 종로꽃시장 입구 옆",Group 1,13257,2529,21.93%,14.78%
"1743","1743.창동19단지아파트 관리사무소앞",Group 1,13231,2615,13.09%,27.59%
"276","276. 영등포로터리2",Group 1,13230,3693,17.35%,23.96%
"3204","3204.도림고가도로 밑",Group 1,13220,2569,15.27%,25.48%
"2369","2369. KT선릉타워",Group 1,13217,1444,26.19%,16.76%
"2504","2504. 신사역 4번출구 뒤",Group 1,13208,698,25.03%,26.19%
"5896","5896.영등포구청역 6번출구",Group 1,13206,2280,20.88%,21.19%
"4145","4145.청량리동 주민센터",Group 1,13184,1245,18.51%,24.46%
"4102","4102. 휘경1동주민센터 앞",Group 1,13175,2302,16.24%,27.25%
"233","233. 양평1동 YP센터 앞",Group 1,13122,1356,34.02%,16.36%
"1729","1729. 도봉한신아파트 버스정류장",Group 1,13121,1273,15.20%,29.24%
"359","359. 원남동사거리",Group 1,13118,1200,21.65%,20.91%
"1814","1814. 두산위브아파트 옆 상가건물 앞",Group 1,13116,3963,12.44%,22.42%
"1318","1318. 길음역 3번출구 뒤",Group 1,13093,1235,19.19%,26.14%
"4077","4077. 도봉제1교",Group 1,13076,1145,13.36%,36.31%
"150","150. 서강대역 2번출구 앞",Group 1,13064,1937,15.80%,27.21%
"1277","1277. 성내7교",Group 1,13060,2672,12.21%,24.51%
"143","143. 공덕역 2번출구",Group 1,13057,2008,25.19%,21.80%
"3220","3220.래미안에스티움 앞 (신풍로)",Group 1,13054,2714,13.41%,25.83%
"3873","3873. 동서울우편집중국 앞",Group 1,13036,1643,17.58%,22.13%
"4011","4011. 월계 센트럴 아이파크",Group 1,13009,938,18.16%,23.89%
"3102","3102. 연희삼거리",Group 1,12997,2250,13.12%,29.00%
"3641","3641. 대청역",Group 1,12978,2162,27.44%,20.19%
"674","674.고대앞사거리 교통섬",Group 1,12977,1051,18.99%,23.09%
"908","908. 구산역 4번출구",Group 1,12977,1551,16.01%,29.61%
"2703","2703.서울도시가스 앞",Group 1,12969,1531,19.82%,27.08%
"2408","2408. 강남한양수자인아파트",Group 1,12957,2761,14.06%,25.80%
"1444","1444. 면목4치안센터",Group 1,12937,2873,11.68%,26.17%
"3411","3411.종묘",Group 1,12914,1838,18.90%,16.77%
"1805","1805. 서울디지털운동장 앞",Group 1,12908,2684,27.96%,14.63%
"241","241. 신길우성1차아파트 앞 공원",Group 1,12907,3505,9.82%,24.23%
"1375","1375. 생명의 전화 종합복지관 앞 교차로",Group 1,12903,3092,15.56%,20.74%
"2917","2917.신창중학교 후문 맞은편 버스정류장",Group 1,12902,1837,11.12%,26.57%
"389","389. 을지로4가역 1번출구",Group 1,12895,2506,23.41%,17.20%
"1809","1809. LG전자 별관동(호서대 벤처타워 맞은편)",Group 1,12884,1194,45.54%,8.42%
"2303","2303. 논현역 10번출구",Group 1,12864,1860,22.68%,22.56%
"1271","1271. 송파도서관",Group 1,12839,908,19.22%,29.13%
"3818","3818. 은천교회 앞",Group 1,12836,3050,12.01%,27.97%
"958","958. 본 서부병원 버스정류장(은평 세무서 방면)",Group 1,12835,1925,15.01%,25.38%
"5760","5760. 풍납사거리 성내유수지",Group 1,12833,1426,20.94%,27.27%
"2189","2189. 봉천역 4번출구",Group 1,12827,699,19.41%,26.65%
"1808","1808. 에이스하이엔드타워8차 앞",Group 1,12823,386,52.68%,10.35%
"2540","2540.반포천 앞",Group 1,12790,1843,21.83%,23.06%
"3987","3987. LG전자가산A와 가산테라타워 사이",Group 1,12775,4600,14.77%,18.37%
"4873","4873. 개롱역사거리 2번 출구",Group 1,12773,2079,19.26%,24.01%
"1431","1431. 중랑구청 사거리",Group 1,12763,805,18.99%,27.44%
"800","800. 목월공원 앞",Group 1,12747,2534,18.52%,26.74%
"3221","3221.서울특별시 남부교육지원청",Group 1,12732,2228,21.72%,19.55%
"5341","5341.공릉동효성아파트 앞",Group 1,12728,1905,11.52%,27.29%
"2221","2221. 방일초교 마을버스 정류장",Group 1,12727,1311,21.58%,26.12%
"4139","4139. 답십리 사거리",Group 1,12724,2281,11.95%,26.12%
"3908","3908. 오류동 다숲오피스텔 앞",Group 1,12723,2574,12.29%,26.67%
"3212","3212.신풍역 6번출구",Group 1,12711,2051,13.88%,24.29%
"1473","1473.중랑역 1번 출구(중화문화복지센터)",Group 1,12706,2165,20.23%,23.55%
"4074","4074. 도봉구육아종합지원센터(창동)",Group 1,12706,2862,12.82%,25.85%
"4005","4005. 중계2차 한화꿈에그린 101동 인근",Group 1,12692,1110,17.77%,28.62%
"1186","1186. 송정중학교",Group 1,12691,3035,14.51%,22.38%
"4078","4078. 원당공원 앞",Group 1,12676,2432,14.02%,25.39%
"199","199. 서울 월드컵 경기장",Group 1,12670,1101,14.99%,34.29%
"472","472.삼일교(시그니쳐 타워)",Group 1,12654,1373,31.77%,9.27%
"806","806. 전자랜드 본관 앞",Group 1,12653,1952,22.52%,21.64%
"4411","4411. 동산어린이공원 앞",Group 1,12632,2879,19.38%,17.74%
"736","736. 오솔길공원",Group 1,12607,2951,14.33%,24.32%
"2523","2523.뉴코아 킴스클럽 앞",Group 1,12604,1516,15.30%,32.54%
"1965","1965. 삼환로즈빌아파트 105동 옆",Group 1,12586,1743,15.80%,27.59%
"1085","1085.래미안 솔베뉴(고덕로)",Group 1,12581,1930,17.35%,24.35%
"5877","5877. 문래동 꽃밭정원",Group 1,12558,1688,20.68%,26.84%
"4620","4620. 삼각지역 14번 출구 앞(교통섬)",Group 1,12552,1644,16.08%,27.00%
"242","242. 신길선원가와인아파트 앞",Group 1,12548,2009,15.56%,27.83%
"1937","1937. 한진아파트 입구",Group 1,12538,2305,11.92%,25.80%
"3508","3508. 화양사거리",Group 1,12538,2203,26.42%,20.05%
"3515","3515. 서울숲 관리사무소",Group 1,12492,339,16.70%,42.41%
"1408","1408. 먹골역 6번출구 앞",Group 1,12483,1702,16.11%,25.72%
"354","354. 포르투갈 대사관 앞",Group 1,12475,1573,18.91%,22.70%
"5332","5332. 마들역 4번출구",Group 1,12455,2202,14.29%,25.19%
"1941","1941. 오류동역 2번출구",Group 1,12450,2437,18.85%,23.01%
"249","249. 여의도중학교 옆",Group 1,12449,842,17.07%,40.77%
"1070","1070.(시립)고덕평생학습관",Group 1,12432,1071,16.55%,24.83%
"932","932. 예일여중",Group 1,12420,923,15.72%,28.58%
"1127","1127. 화곡역 버스정류장",Group 1,12410,1473,18.03%,25.28%
"1171","1171. 염창동 새마을금고 건너편",Group 1,12401,2494,12.00%,24.63%
"4558","4558. 대영중고 후문",Group 1,12390,2723,12.54%,21.88%
"2376","2376. 수서역 7번출구 앞",Group 1,12379,1373,33.94%,21.18%
"450","450. 효자동 삼거리",Group 1,12377,2431,16.13%,28.02%
"4823","4823. 방정환교육지원센터 옆",Group 1,12377,1418,14.66%,27.19%
"511","511. 서울숲역 5번 출구 옆",Group 1,12375,1857,22.87%,25.92%
"1430","1430. 중랑구청",Group 1,12360,1497,22.24%,21.54%
"1461","1461.동양엔파트 앞",Group 1,12358,698,20.80%,26.88%
"1061","1061. 천호초교 입구 사거리(일주빌딩)",Group 1,12353,2261,15.46%,26.31%
"2213","2213. 고속터미널역 5번출구 앞",Group 1,12353,2395,23.58%,22.16%
"622","622. 전농사거리 교통섬",Group 1,12344,1592,13.72%,26.74%
"5098","5098. LG사이언스파크 W4동",Group 1,12338,5138,26.63%,6.78%
"544","544. 광남중학교",Group 1,12333,2458,11.14%,34.67%
"1373","1373. 성북구보건소 건너편",Group 1,12315,2514,17.56%,25.12%
"495","495.염리초등학교 앞",Group 1,12314,1640,23.24%,20.81%
"4539","4539. 목동7단지아파트 A상가",Group 1,12314,1480,19.34%,25.39%
"185","185. 마포 신수공원 앞",Group 1,12295,2009,11.58%,32.59%
"2644","2644. 성내5교",Group 1,12287,2255,14.29%,26.49%
"2003","2003. 사육신공원앞",Group 1,12279,1224,14.85%,30.14%
"4507","4507. 신정제일시장",Group 1,12278,1919,18.33%,26.60%
"175","175. 홍연2교옆",Group 1,12266,2543,13.66%,27.76%
"1286","1286. 위례중앙푸르지오 1단지 앞",Group 1,12255,1335,13.77%,28.00%
"1268","1268. 몽촌토성역 1번출구 옆",Group 1,12250,1482,18.15%,34.56%
"2077","2077.노들역 3번출구",Group 1,12249,2646,13.30%,30.26%
"832","832. 이촌1동 주민센터 뒤",Group 1,12244,1942,18.53%,27.43%
"5761","5761. 버섯분수대",Group 1,12230,1613,18.50%,24.55%
"401","401. 상암월드컵파크 10단지 앞",Group 1,12226,2721,12.83%,25.22%
"1765","1765.쌍문역 1번출구 주변",Group 1,12226,831,19.91%,27.27%
"2411","2411. 세곡동 성당",Group 1,12222,2201,14.16%,28.21%
"4016","4016. 노원 마들스타디움",Group 1,12221,1476,13.43%,23.24%
"348","348. 독립문역 사거리",Group 1,12220,3330,10.24%,21.46%
"846","846. 용산중학교",Group 1,12192,1764,14.40%,27.31%
"2372","2372. 대치역 사거리",Group 1,12182,1595,20.30%,28.71%
"3969","3969. 독산역 롯데캐슬 104동 앞",Group 1,12164,2873,12.59%,25.12%
"248","248. 초원아파트 앞",Group 1,12146,889,24.16%,36.70%
"5059","5059. 화곡2동주민센터",Group 1,12136,3059,12.50%,25.66%
"2103","2103. 신림동 우방아파트",Group 1,12134,2627,14.67%,28.43%
"4659","4659. 신진과학기술고등학교 버스정류장(응암시장 방면)",Group 1,12123,3127,11.29%,24.56%
"837","837. 한남나들목 입구",Group 1,12118,1028,18.61%,33.78%
"579","579. 마장역 4번출구",Group 1,12117,1541,14.55%,23.12%
"403","403. 부엉이공원 앞",Group 1,12112,2214,17.49%,22.73%
"2503","2503. 반포1동 서초빌딩 앞",Group 1,12111,2071,21.34%,22.02%
"1079","1079.강일동입구교차로",Group 1,12108,3091,14.03%,25.01%
"1027","1027. 프라자 아파트 앞",Group 1,12096,2869,12.06%,25.51%
"4886","4886. 배명고등학교 건너편",Group 1,12095,2772,13.01%,24.51%
"2033","2033. 사당동 아르테스 웨딩앞",Group 1,12094,1736,15.13%,25.37%
"307","307. 서울역사박물관 앞",Group 1,12092,1224,25.83%,18.81%
"4042","4042. 상계문화정보도서관",Group 1,12089,1015,21.42%,26.39%
"835","835. 남영역 건너편",Group 1,12073,1537,18.78%,24.23%
"3683","3683. KT&G강동지사",Group 1,12046,1935,17.34%,24.82%
"2387","2387. 래미안강남힐즈 사거리",Group 1,12037,1590,15.07%,27.37%
"4828","4828. 신내동 한살림 중랑지구 앞",Group 1,12029,2958,12.95%,24.30%
"2277","2277. 길마중4교 하부",Group 1,12019,1774,17.44%,25.58%
"1706","1706. 방학동우체국 건너편",Group 1,12018,1410,17.16%,23.77%
"4303","4303. 매헌역 2번출구앞광역버스 정류장앞(22-297)",Group 1,12014,2370,22.91%,17.45%
"4718","4718. 광화문역 6번출구 옆 A",Group 1,12010,1732,25.20%,16.54%
"4793","4793. 동대문역사문화공원역 5번출구",Group 1,12010,1277,24.11%,20.25%
"2185","2185. 대학동 고시촌",Group 1,11997,1721,13.40%,28.98%
"318","318. 광교사거리 남측",Group 1,11992,1143,28.65%,17.30%
"3989","3989.가산디지털단지역 9번출구 앞",Group 1,11985,3565,25.23%,11.36%
"4255","4255. 래미안 루센티아 아파트 108동 앞",Group 1,11979,2194,12.14%,27.84%
"4880","4880. 송파청소년센터",Group 1,11932,3060,11.88%,23.50%
"4618","4618. 풍전아파트 건너편",Group 1,11913,1748,31.27%,17.69%
"2195","2195.은천교회",Group 1,11899,2593,11.56%,28.14%
"2016","2016. 신대방삼거리역 3번출구쪽",Group 1,11857,2095,13.27%,27.74%
"4002","4002. 상계주공 14단지 상가 앞",Group 1,11857,2298,12.29%,28.21%
"1983","1983. 구로동롯데아파트",Group 1,11853,2274,12.15%,25.45%
"4591","4591. 신길자이아파트",Group 1,11808,2455,12.34%,29.01%
"740","740. 으뜸공원",Group 1,11766,3386,11.54%,22.83%
"2715","2715.마곡나루역 2번 출구",Group 2,173645,37531,24.73%,20.16%
"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",Group 2,122673,15850,29.86%,25.53%
"2728","2728.마곡나루역 3번 출구",Group 2,121698,24221,25.22%,16.18%
"2701","2701. 마곡나루역 5번출구 뒤편",Group 2,114953,41240,23.45%,14.40%
"5515","5515.한강버스 망원 선착장",Group 2,97178,2477,14.75%,44.06%
"230","230. 영등포구청역 7번출구",Group 2,90789,19004,21.17%,20.86%
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",Group 2,88882,10099,19.67%,32.46%
"2622","2622. 올림픽공원역 3번출구",Group 2,79556,10549,20.29%,30.84%
"2608","2608. 송파구청",Group 2,79455,8444,23.65%,28.54%
"1124","1124. 발산역 6번 출구 뒤",Group 2,72977,8440,22.05%,25.67%
"1911","1911. 구로디지털단지역 앞",Group 2,70484,12588,24.66%,21.64%
"792","792.목동트라팰리스 웨스턴에비뉴",Group 2,70074,2476,20.23%,28.74%
"769","769.CBS방송국 앞",Group 2,69556,3096,24.52%,31.47%
"4217","4217. 한강공원 망원나들목",Group 2,69466,3393,14.34%,39.39%
"3533","3533. 건대입구역 사거리(롯데백화점)",Group 2,68937,6295,19.06%,29.90%
"247","247. 당산역 10번출구 앞",Group 2,67725,9277,24.40%,24.57%
"4870","4870. 몽촌토성역 3번 출구",Group 2,67510,7593,19.59%,27.67%
"272","272. 당산육갑문",Group 2,67379,6341,19.64%,32.45%
"1160","1160. 양천향교역 7번출구앞",Group 2,67279,11227,20.56%,21.69%
"1166","1166. 강서구립등빛도서관",Group 2,67255,14860,15.88%,24.06%
"3939","3939.신도림역 3번출구",Group 2,67072,7366,30.24%,24.58%
"5052","5052. 마곡역 7번출구",Group 2,66948,13873,26.37%,18.45%
"765","765. 오목교역 3번출구",Group 2,66480,5130,20.84%,29.13%
"4565","4565. 영등포 신세계백화점",Group 2,66307,3349,23.62%,33.55%
"2102","2102. 봉림교 교통섬",Group 2,65867,4385,16.73%,31.39%
"5768","5768.방이삼거리",Group 2,64144,6650,17.47%,27.95%
"2733","2733.마곡13단지 정문 앞",Group 2,63937,19670,11.18%,22.77%
"3798","3798. 그랜드아이파크아파트 앞",Group 2,63748,17251,15.55%,22.62%
"583","583. 청계천 생태교실 앞",Group 2,62641,5237,16.46%,36.65%
"2721","2721.등촌1-10단지 교차로",Group 2,62188,15675,21.02%,18.99%
"5891","5891.한강버스 여의도 선착장",Group 2,61488,837,17.51%,42.71%
"5082","5082. 가양역 7번출구",Group 2,61448,8444,25.02%,21.90%
"2620","2620. 송파나루역 4번 출구옆",Group 2,61183,8321,17.39%,28.42%
"529","529. 장한평역 8번 출구 앞",Group 2,60925,15391,22.20%,17.15%
"1050","1050.  둔촌역 3번 출입구",Group 2,60119,8242,17.48%,25.26%
"113","113. 홍대입구역 2번출구 앞",Group 2,59869,7195,28.13%,22.79%
"1906","1906. 신도림역 1번 출구 앞",Group 2,59498,13084,25.63%,22.45%
"1151","1151. 마곡역1번출구",Group 2,59399,10580,24.27%,20.96%
"5858","5858. 영등포역5번출구",Group 2,59215,11977,16.08%,26.32%
"3534","3534. 건대입구역 5번출구 뒤",Group 2,58808,6405,18.23%,27.10%
"5153","5153.한강버스 뚝섬 선착장",Group 2,58351,1188,17.70%,40.97%
"508","508. 성수아카데미타워 앞",Group 2,57587,14798,24.73%,15.94%
"1009","1009. 천호역4번출구(현대백화점)",Group 2,57506,4566,24.35%,28.51%
"1867","1867.대륭포스트타워6차 앞",Group 2,56544,10846,36.33%,13.29%
"2717","2717.LG유플러스 마곡사옥",Group 2,56514,4110,48.09%,8.16%
"1222","1222. 잠실새내역 5번 출구 뒤",Group 2,55811,5087,19.31%,28.31%
"781","781.신정보도육교 아래",Group 2,55742,15176,13.97%,24.29%
"3518","3518. 군자역 7번출구뒤",Group 2,55695,10080,20.80%,22.50%
"1625","1625. 상계역 3번출구",Group 2,55091,8151,17.10%,25.37%
"4574","4574. 영등포시장역 포레나영등포",Group 2,54936,9107,20.69%,24.05%
"1112","1112. 마곡엠밸리4단지 정문",Group 2,54666,7179,20.43%,23.81%
"1152","1152. 마곡역교차로",Group 2,54446,7831,27.21%,19.02%
"4543","4543. 오목교역 6번 출구",Group 2,53602,6509,24.03%,25.17%
"2739","2739.수명산파크1단지교차로",Group 2,53373,15205,13.06%,22.34%
"4457","4457. 아산병원 기숙사 부근",Group 2,53097,3544,29.46%,16.13%
"726","726. 목동3단지 시내버스정류장",Group 2,52964,11717,14.38%,25.01%
"585","585. 성수2가1동 공영주차장 인근",Group 2,52416,8506,18.47%,27.41%
"797","797.목동아파트 1422동 1434동 사잇길",Group 2,52209,11270,15.34%,25.89%
"708","708. 서울출입국관리사무소 앞",Group 2,52154,7270,20.06%,24.03%
"5784","5784.한강버스 잠실 선착장",Group 2,51916,1625,14.49%,46.31%
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",Group 2,51646,10806,16.18%,23.68%
"3569","3569.건대병원후문",Group 2,51584,7456,18.12%,21.65%
"4571","4571. 문래동롯데캐슬아파트",Group 2,51277,12442,18.50%,22.73%
"1158","1158. 가양역 8번출구",Group 2,51228,7541,21.51%,22.36%
"1190","1190. 마곡역 교차로(2번출구)",Group 2,51145,6189,25.70%,23.43%
"770","770.목동역5번출구",Group 3,50444,7563,23.06%,19.58%
"1078","1078.둔촌사거리",Group 3,49945,7191,14.27%,30.95%
"5781","5781. 올림픽공원 수영장",Group 3,49519,7562,12.86%,23.09%
"4561","4561. 양평역 1번출구",Group 3,49418,12586,21.17%,20.03%
"3780","3780. 등촌서광아파트",Group 3,49309,11197,15.73%,24.14%
"240","240. 문래역 4번출구 앞",Group 3,48986,10085,22.31%,21.34%
"1020","1020. 강동경찰서",Group 3,48978,9883,15.86%,20.07%
"1925","1925. 동양미래대학교 정문 옆",Group 3,48965,6598,15.36%,26.79%
"5651","5651.한강버스 옥수 선착장",Group 3,48408,1843,18.73%,39.42%
"1167","1167. 마곡수명산파크3단지 교차로",Group 3,48269,11927,15.26%,23.79%
"1601","1601. 석계역 문화광장 내 자전거 보관소",Group 3,48192,4709,21.80%,23.78%
"3681","3681. 길동 마루빌딩",Group 3,48138,5784,17.06%,27.78%
"207","207. 여의나루역 1번출구 앞",Group 3,47872,4473,23.76%,31.73%
"209","209. 유진투자증권빌딩 앞",Group 3,47705,2420,36.51%,24.01%
"5061","5061. 우장산동 가곡어린이공원앞",Group 3,47558,6724,15.75%,25.38%
"1184","1184. 마곡13단지",Group 3,47319,15621,11.68%,23.20%
"3668","3668. 성내삼성아파트",Group 3,47247,10135,15.42%,24.21%
"1084","1084. 윤선생빌딩(JYP사옥)",Group 3,46577,5376,24.96%,24.37%
"746","746. 목동2단지 상가",Group 3,46240,2667,18.02%,32.08%
"1157","1157. 강서구청",Group 3,46181,13367,16.86%,19.73%
"243","243. 이앤씨드림타워 앞",Group 3,46132,5137,25.23%,23.38%
"1608","1608. 공릉역 1번 출구 앞",Group 3,46131,5835,20.52%,22.06%
"1044","1044. 굽은다리역",Group 3,46104,5723,17.13%,26.96%
"4940","4940.한강버스 압구정 선착장",Group 3,46092,1298,18.13%,43.82%
"787","787.양천아파트 입구",Group 3,46086,13055,14.21%,23.22%
"3571","3571.화양 APT(횡단보도 옆)",Group 3,45986,8639,17.91%,22.42%
"4531","4531. 목동아파트 613동 앞",Group 3,45950,10291,13.88%,27.59%
"4029","4029. 청소년수련관 후문",Group 3,45915,9352,12.58%,26.89%
"4137","4137. 답십리역 4번출구",Group 3,45845,5399,25.14%,22.67%
