대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"5881","5881. 세계청소년NGO교육문화원",Group 1,24304,4426,17.56%,24.97%
"3214","3214.영등포 푸르지오 아파트 A",Group 1,24260,7365,11.13%,25.04%
"1177","1177. 수명중?고교",Group 1,24259,7808,10.81%,17.63%
"643","643. 동대문구민체육센터 (육교아래)",Group 1,24254,6152,11.75%,25.63%
"6183","6183.K스퀘어 마곡",Group 1,24228,2776,29.94%,20.67%
"1197","1197. 엠펠리체 호텔 건너편",Group 1,24163,1940,23.48%,24.10%
"2619","2619. 석촌고분역 4번출구",Group 1,24098,3938,15.78%,27.40%
"1338","1338. 용문2교 옆",Group 1,24088,3572,15.04%,25.11%
"1610","1610. 화랑대역 2번출구 앞",Group 1,24088,3094,16.24%,28.18%
"3759","3759. 이대서울병원",Group 1,24051,1708,26.84%,15.79%
"829","829. 한강대교 북단 교차로",Group 1,23975,2148,18.50%,35.46%
"244","244. 영등포삼환아파트 앞",Group 1,23949,3762,16.39%,26.29%
"4377","4377. 우영테크노센터 앞",Group 1,23913,685,36.62%,20.75%
"1442","1442. 중랑구청 중화동 별관 앞",Group 1,23884,2913,17.44%,23.35%
"2335","2335. 3호선 매봉역 3번출구앞",Group 1,23871,4807,23.67%,20.80%
"4383","4383. 푸조비즈타워 앞",Group 1,23866,3495,40.19%,10.87%
"642","642. 신답역 사거리",Group 1,23848,5864,17.84%,22.51%
"634","634. 외국어대 정문 앞",Group 1,23775,2264,15.99%,25.11%
"702","702. 목4동주민센터 옆",Group 1,23750,5445,13.56%,23.07%
"3692","3692. 둔촌오륜역 1번 출구",Group 1,23735,4738,15.91%,26.29%
"5066","5066. 아망떼마곡전시장",Group 1,23696,1247,41.20%,13.10%
"626","626. 군자교 서측 녹지대",Group 1,23664,3941,20.77%,25.20%
"4559","4559. 신길역 2번출구",Group 1,23568,4333,21.38%,25.29%
"4537","4537. 서울남부지방검찰청 후문",Group 1,23564,5475,17.12%,19.20%
"1686","1686. 상계주공10단지 종합상가 앞",Group 1,23543,2546,14.51%,27.88%
"1744","1744.도봉소방서 옆",Group 1,23531,1297,20.72%,28.23%
"2050","2050. 노량진역 5번출구",Group 1,23492,2234,15.93%,26.65%
"3416","3416.동묘앞역 6번출구",Group 1,23423,2553,13.17%,22.70%
"1168","1168. 마곡엠밸리10단지 앞",Group 1,23417,5497,13.60%,21.65%
"912","912. 응암오거리",Group 1,23391,4162,15.56%,26.45%
"1090","1090.상일동역 2번출구 앞",Group 1,23384,3785,24.63%,20.88%
"3882","3882. 자양2동 주민센터",Group 1,23382,6669,13.21%,25.25%
"2630","2630.서울방이동 고분군",Group 1,23355,2943,17.50%,25.99%
"3934","3934. 철도교통관제센터 정문 앞",Group 1,23348,6739,35.30%,23.77%
"3586","3586.군자역 비채온 오피스텔",Group 1,23325,3607,16.30%,27.14%
"2025","2025. 흑석역 1번출구",Group 1,23316,2271,20.07%,29.55%
"2724","2724.(재)FITI시험연구원",Group 1,23311,8204,24.70%,11.80%
"316","316. 종각역 1번출구 앞",Group 1,23243,4394,22.36%,14.60%
"4399","4399. 더리브 세종타워 앞",Group 1,23217,2365,28.29%,23.47%
"4856","4856. 올림픽공원 서1문 앞",Group 1,23211,2689,23.25%,26.47%
"1126","1126. 우장산역 1번출구옆(우장산아이파크105동앞)",Group 1,23199,1690,19.03%,27.22%
"3549","3549.건영아파트 앞",Group 1,23181,6381,14.37%,24.35%
"723","723. SBS방송국",Group 1,23146,2284,30.47%,18.85%
"2729","2729.넥센 유니버시티 앞",Group 1,23110,1877,36.82%,14.24%
"1002","1002. 해공공원(천호동)",Group 1,23082,4366,12.08%,28.84%
"473","473.을지로4가역 9번출구",Group 1,23066,4568,21.87%,17.22%
"3905","3905. 희훈타워빌 앞",Group 1,23062,4460,14.57%,24.33%
"551","551. 구의삼성쉐르빌 앞",Group 1,23039,3146,15.35%,26.08%
"1028","1028. 포레스 주상복합 빌딩",Group 1,23016,3488,16.36%,25.20%
"1414","1414. 사가정역 2번출구",Group 1,23009,2216,21.80%,25.00%
"1246","1246. 문정 법조단지10",Group 1,22990,2927,30.36%,21.33%
"1956","1956. 동아1차APT105동 버스정류장(신도림중학교 방면)",Group 1,22959,6010,17.07%,21.93%
"3864","3864. 광진소방서 앞",Group 1,22952,5948,15.76%,22.90%
"2613","2613. 잠실나들목",Group 1,22950,2257,12.94%,39.22%
